concept_name,concept_type,primary_category,paper_count
post-hoc score,metric,cs.CV,1
post hallucination reasoning (phr,task,cs.CV,1
position estimation,metric,cs.CL,1
potential-based reward shaping (pbrs,theory,cs.LG,1
pet-guided noise modulation module,tool,cs.CV,1
perturbation discrimination score (pds,metric,cs.LG,1
personal ai agents,application,cs.CR,1
persistent homology,theory,cs.CV,1
perplexity degradation,metric,cs.LG,1
performance-relevant diff hunks,task,cs.SE,1
perceptual stages,task,cs.SD,1
percentile-aware layerwise sparsity,method,cs.CL,1
per-axis normalization,method,cs.LG,1
pedagogical rubric,theory,cs.AI,1
privacy classifier,tool,cs.CR,1
pattern matching,task,cs.AI,1
pattern discovery,task,cs.AI,1
pathwise feature transport,method,cs.AI,1
path-dependent tension resolution,theory,cs.AI,1
path planning,task,cs.LG,1
pass 2,metric,cs.AI,1
partial observability,task,cs.LG,1
part segmentation,task,cs.CV,1
parametric component factories,application,cs.AI,1
parameter-efficient fine-tuning (peft,method,cs.CV,1
pangolintokenizer,other,cs.SD,1
pattern recognition,theory,cs.AI,1
political orientation,application,cs.CL,1
policy optimization target,theory,cs.AI,1
policy loss,metric,cs.CL,1
policy gradients,theory,cs.LG,1
policy gradient,method,cs.CL,1
policy gradient,method,cs.AI,1
policy distillation,method,cs.LG,1
polarity-contradiction detection,method,cs.CV,1
poisson arrival process,model,econ.TH,1
point-cloud manifold,model,cs.CL,1
phase-based freeze schedule,method,cs.LG,1
podcast feed,dataset,cs.CL,1
planning compilation,method,cs.CR,1
planning,other,cs.AI,1
planner behavior,other,cs.AI,1
plan-like internal representation,theory,cs.CL,1
pixel-level segmentation mask,tool,cs.CV,1
physics-guided machine learning,theory,cs.LG,1
physics-audited agentic sciml,method,cs.AI,1
physics requirements,theory,cs.AI,1
physical plausibility,other,cs.CV,1
physical laws,application,cs.AI,1
point cloud evolution,task,cs.RO,1
redundant meta-training compute,method,cs.LG,1
redsm5,dataset,cs.CL,1
recursive prompt bank,model,cs.CV,1
recurring workflows,task,cs.AI,1
recurrent soft-flow,method,cs.CL,1
reconstruction-aware,method,cs.CR,1
recommendation generation,application,cs.SE,1
reasoning-free inference,other,cs.AI,1
reasoning-active training,other,cs.AI,1
reasoning traces,task,cs.AI,1
projective techniques,task,cs.AI,1
reasoning dynamics,metric,cs.CV,1
realistic coding contexts,task,cs.SE,1
real-world end-to-end working demands,task,cs.AI,1
readability,metric,cs.CL,1
ray and wave optics,task,cs.AI,1
rational inattention,theory,cs.AI,1
rate-of-spread estimation,metric,cs.LG,1
rank-r subspace,task,cs.LG,1
rank-1 orthogonal projections,method,cs.LG,1
random sampling map,method,math.ST,1
reasoning guard,other,cs.CR,1
repository enrichment,method,cs.SE,1
repeated games,other,cs.CY,1
repeated execution protocol,method,cs.CL,1
renyi entropy,metric,cs.CL,1
relevance anchor,model,cs.CV,1
rejection sampling,theory,cs.CL,1
rejection fine-tuning,method,cs.AI,1
reinforcement learning from verifiable rewards (rlvr,method,cs.LG,1
reinforcement learning,theory,cs.CL,1
reinforcement learning,method,cs.CL,1
reed-solomon code,method,cs.CR,1
reinforcement fine-tuning,method,cs.AI,1
regulation-aware ai,theory,cs.AI,1
regression model,method,stat.ME,1
region of interest,task,cs.CV,1
region context embeddings,task,cs.CV,1
regime-dependent failure,risk,cs.LG,1
regex-based constraint,tool,cs.SE,1
refusal behavior,other,cs.SE,1
refusal,application,cs.CL,1
reflective orchestrator,method,cs.AI,1
reference-free,model,cs.LG,1
reinforcement learning,application,cs.CL,1
proposal trees,task,cs.LG,1
proof-mechanism,task,cs.CL,1
prompt-optimized parameter shaking,method,cs.CR,1
prompt robustness,theory,cs.CL,1
prompt optimization,method,cs.CL,1
prompt engineering,method,cs.CL,1
prompt engineering,method,cs.AI,1
prompt construction,risk,cs.CV,1
prompt complexity,theory,cs.CL,1
prompt category,task,cs.CL,1
random neural network,model,cs.LG,1
program synthesis,task,cs.AI,1
program evolution,task,cs.LG,1
program analysis,tool,cs.SE,1
production traffic,metric,cs.LG,1
process model generation,task,cs.CL,1
probability capacity (cap,theory,cs.LG,1
privileged information,risk,cs.CL,1
privileged context,method,cs.AI,1
private intent,task,cs.CY,1
privacy-utility orthogonality,theory,cs.CR,1
pandasqueryengine,tool,cs.AI,1
random forest,method,eess.SP,1
qwen,model,cs.LG,1
question-type-specific inference,method,cs.CL,1
query-key projections,task,cs.LG,1
quantitative data extraction,method,cs.NE,1
quantisation,method,cs.LG,1
quality-filtered trajectory distillation,method,cs.CL,1
quality scorer,metric,cs.AI,1
quality rubric,metric,cs.CY,1
quadrotor,application,cs.RO,1
proprioceptive vehicle localization,task,cs.RO,1
pullback metrics,method,cs.CL,1
public announcement,task,cs.CY,1
pubhealthbench,dataset,cs.CL,1
psychometric battery,method,cs.CL,1
pseudo frames,dataset,cs.CV,1
pruning,method,cs.CL,1
pruning,application,cs.CL,1
proxy score,metric,cs.LG,1
prototypical contrastive learning,method,cs.CL,1
protocolmanager,tool,cs.AI,1
prosodic segmentation,task,cs.CL,1
pure reasoning,other,cs.AI,1
motion latents,other,cs.RO,1
moral decisiveness,theory,cs.CL,1
monotonic improvement,theory,cs.LG,1
monoid extension,theory,cs.LG,1
monocular depth estimation,method,cs.CV,1
moe llm,model,cs.CL,1
moe,model,cs.LG,1
modular instruction memory,model,cs.CL,1
model-relative text compression,theory,cs.CL,1
model failure modes,risk,cs.SE,1
optimal transport divergence,theory,cs.CL,1
mobilenetv2,model,cs.LG,1
mobile llm inference,task,cs.AR,1
mmlu,other,cs.LG,1
mmd,method,cs.CL,1
ml-based model selection,method,cs.PF,1
mixture-of-models,model,cs.CV,1
mixture of beta distribution,model,cs.CL,1
mixed-mode rollout,method,cs.CL,1
misalignment,risk,cs.LG,1
minority class,task,cs.LG,1
minimum covariance determinant (mcd,method,stat.ML,1
modality interference,risk,cs.CL,1
multi-resolution,method,cs.CV,1
multi-model blending,method,cs.LG,1
multi-modality machine unlearning,theory,cs.CR,1
multi-modal representation,other,cs.LG,1
multi-modal input,other,cs.RO,1
multi-llm arena,tool,cs.CL,1
multi-label span classification,task,cs.CL,1
multi-label formulation,model,cs.LG,1
multi-hop qa,dataset,cs.CL,1
multi-gpu,tool,cs.CV,1
multi-agent architecture,model,cs.AI,1
multi-dimensional reward shaping,method,cs.AI,1
multi-dimensional annotation,metric,eess.AS,1
multi-class formulation,model,cs.LG,1
multi-channel spread-spectrum watermarking,method,cs.CR,1
multi-buyer markets,application,cs.LG,1
multi-bit watermarking,method,cs.CR,1
multi-agent systems,theory,cs.MA,1
multi-agent pipeline,method,cs.CV,1
multi-agent mathematical reasoning,theory,cs.AI,1
multi-agent llm safety,application,cs.AI,1
multi-agent coordination,application,cs.AI,1
multi-fidelity framework,theory,cond-mat.mtrl-sci,1
majority voting,method,cs.CR,1
majority voting,method,cs.CL,1
mahalanobis distance scores,metric,stat.ML,1
macro-f1,metric,cs.CL,1
machine-checkable,tool,cs.AI,1
machine translation,tool,cs.CL,1
machine representation reconstruction,method,cs.SD,1
lyapunov function,theory,cs.LG,1
low-rank temporal adapters,model,cs.CV,1
low-rank peft,method,cs.CL,1
minimax-regret,metric,econ.TH,1
low-rank adaptation (lora,method,cs.CV,1
low-precision gradient communication,method,cs.DC,1
low-latency path,model,cs.CV,1
low-capacity evaluation channel,model,cs.AI,1
lora fine-tune,method,cs.CL,1
lora adapters,model,cs.SD,1
lora adapters,model,cs.CL,1
lora,model,cs.LG,1
long-term memory,model,cs.CR,1
long-horizon reasoning,other,cs.AI,1
long-horizon,task,cs.LG,1
low-rank adaptation (lora,method,cs.RO,1
meta-learning,theory,cs.LG,1
mentalroberta,model,cs.CL,1
memory-guided generation,method,cs.CV,1
memory poisoning,risk,cs.CR,1
memorization window,metric,cs.LG,1
medical figure classification,task,cs.CV,1
mechanistic interpretability,theory,cs.LG,1
measurement validity,other,cs.AI,1
mean-field residual-scaling law,theory,cs.AI,1
mean-field posterior,model,cs.LG,1
mamba,model,cs.RO,1
mathematical reasoning,task,cs.CL,1
mass-shell constraint,theory,cs.LG,1
mass-conserving fuel transport,metric,cs.LG,1
masked sequence,task,cs.CL,1
masked language model,model,cs.CL,1
mask-conditioned,method,cs.LG,1
market discovery,task,cs.LG,1
market coupling,task,cs.AI,1
marker-gated coordination pass,method,cs.CL,1
manual labeling,method,cs.CL,1
manipulation policies,application,cs.RO,1
matthews correlation coefficient (mcc,metric,cs.CV,1
olfaction,application,cs.CV,1
offloading and quantization strategies,method,cs.AR,1
offline reinforcement learning,method,cs.LG,1
offline recurrent loop,method,cs.AI,1
offline construction,method,cs.CL,1
off-policy training,task,cs.CL,1
observer option12,tool,cs.CL,1
object detection,task,cs.CV,1
nurc-sp dataset,dataset,cs.CL,1
nucleus accumbens,model,cs.LG,1
multi-scale transformer,model,cs.LG,1
novelty claim,metric,cs.AI,1
normal-inverse-gamma distribution,metric,cs.RO,1
nonlinear effects,theory,cs.LG,1
nli,theory,cs.CL,1
neuron-level interventions,method,cs.LG,1
neuron selectors,model,cs.CL,1
neural network modifications,task,cs.LG,1
neural fictitious self-play,method,cs.LG,1
ndcg,metric,cs.CL,1
naturalistic online setting,application,cs.CL,1
natural-language justification,method,cs.LG,1
novelty profile,metric,cs.CV,1
paired significance tests,metric,cs.CL,1
output cardinality,metric,cs.LG,1
outcome reward,metric,cs.LG,1
ordinary least squares fit,method,cs.LG,1
oracle,model,cs.CL,1
optimizer state,task,cs.LG,1
optimization context,task,cs.CL,1
representation sharing,metric,cs.LG,1
optimal policy,other,econ.TH,1
operational reframing,risk,cs.AI,1
on-policy,method,cs.CL,1
openapi specification,dataset,cs.SE,1
open-source smaller language models (os-sllms,model,cs.CL,1
open-source llms,tool,cs.CV,1
open-source detectors,application,cs.CV,1
open web search,method,cs.CY,1
open problems,task,cs.AI,1
ontology-based synonym matching,method,cs.CV,1
one-dimensional transformer autoencoder,model,cs.LG,1
on-policy token,model,cs.CL,1
on-policy distillation,method,cs.LG,1
on-policy distillation,method,cs.CL,1
operating point,metric,cs.CV,1
multimodal generation,task,cs.CL,1
multimodal entropy structure,theory,cs.CL,1
multimodal alignment,task,cs.IR,1
multimodal,task,cs.SE,1
multimodal,task,cs.CL,1
multimodal,other,cs.CV,1
multimodal,application,cs.CV,1
multilingual transcripts,dataset,cs.CL,1
multilingual long-horizon llm agents,application,cs.AI,1
multilingual access,tool,cs.AI,1
natural-language i/o,task,cs.CL,1
multilingual,task,cs.CL,1
multifactor scoring system,theory,cs.CL,1
multidimensional protocol,method,cs.CL,1
multicultural,task,cs.CL,1
multi-view context,task,cs.CV,1
multi-turn interaction,task,cs.LG,1
multi-token localized attention (mtla,method,cs.CV,1
multi-task reinforcement learning,task,cs.LG,1
multi-step derivation,risk,cs.AI,1
multi-stage reasoning,method,cs.CV,1
multi-seed study,method,cs.LG,1
multilingual ability,application,cs.CL,1
natural-language datasets,dataset,cs.CL,1
natural-gradient update,method,cs.LG,1
natural world,application,cs.AI,1
natural language specification,application,cs.AI,1
natural language prover,model,cs.AI,1
natural language processing (nlp,task,cs.CL,1
natural language processing,tool,cs.CL,1
natural language processing,task,cs.AI,1
natural language explanation,application,cs.CR,1
native structural reasoning,method,cs.CL,1
nas,theory,cs.LG,1
multimodal generative framework,model,cs.LG,1
mutual transformer,model,cs.AI,1
mutation taxonomy,theory,cs.SE,1
mupe-diversidades dataset,dataset,cs.CL,1
multiple-comparison correction,theory,cs.CL,1
multimodal scientific foundation model,model,cs.CL,1
multimodal retrieval,method,cs.CV,1
multimodal representation,model,cs.CY,1
multimodal pattern,metric,cs.CV,1
multimodal large language models,model,cs.CV,1
multimodal large language model (mllm,model,cs.RO,1
multimodal interaction,other,cs.HC,1
narrative generation,application,cs.AI,1
time-series forecasting,task,cs.LG,1
time-conditioned velocity field,model,cs.AI,1
time-agnostic propagation,method,cs.LG,1
time series classification,task,cs.LG,1
throughput,metric,cs.CL,1
throughput,metric,cs.AI,1
threshold check,metric,eess.SP,1
threat score,metric,cs.LG,1
thinking residual,theory,cs.CL,1
thinking models,model,cs.AI,1
residual streams,model,cs.LG,1
textual dependency graph,model,cs.CL,1
text-to-video diffusion transformer,model,cs.CV,1
text-to-sql,task,cs.CL,1
text-to-cad,task,cs.AI,1
text summarization,task,cs.CL,1
test suite,metric,cs.LG,1
test oracles,task,cs.SE,1
test effectiveness,metric,cs.SE,1
tensor program,theory,cs.LG,1
temporal encoder,model,cs.AI,1
temporal drift,metric,cs.LG,1
thermal-airflow perturbation,other,cs.CV,1
tracking,task,cs.CV,1
trace analysis,method,cs.AI,1
tpc-h benchmark,other,cs.DB,1
topological continuity,theory,cs.AI,1
topic-conditional layer normalization,method,cs.CL,1
topic models,model,cs.AI,1
top-term analyses,other,cs.AI,1
top-k marginals,metric,cs.LG,1
toolset,tool,cs.AI,1
toolfailbench,other,cs.CL,1
tool-use failures,task,cs.CL,1
timestep schedules,task,cs.LG,1
tool use,application,cs.AI,1
tool resampling,method,cs.LG,1
tool discovery,task,cs.AI,1
tool composition,task,cs.AI,1
tool call,task,cs.CL,1
token-level signals,task,cs.CL,1
token-level explanation,method,cs.LG,1
token-level clipping,method,cs.LG,1
token-centric dual-view learning,method,cs.CV,1
token-adaptive cache compression,method,cs.AI,1
token log probability,metric,cs.CL,1
tool-augmented agent,model,cs.CV,1
symplectic learning,theory,cs.RO,1
symmetric positive definite (spd) manifold,theory,cs.CL,1
symmetric noise objective,theory,cs.LG,1
symbolic bootstraps,metric,cs.LG,1
symbolic attribute graph,model,cs.CV,1
sycophancy,other,cs.LG,1
svm classifier,method,eess.SP,1
surrogate models,model,cs.AI,1
surrogate modeling,method,cond-mat.mtrl-sci,1
surrogate model,model,cs.LG,1
temporal discourse reasoning,task,cs.CL,1
supervised training,method,cs.CL,1
supervised fine-tuning,application,cs.CL,1
superquadric primitive,model,cs.CV,1
superposition,risk,cs.LG,1
super-resolution,task,cs.LG,1
subword vocabulary,task,cs.CL,1
subspace non-identifiability,risk,cs.LG,1
sub-instructions,model,cs.CL,1
sub-goal embeddings,model,cs.CL,1
structured token-level communication,method,cs.CV,1
structured safety labels,other,cs.AI,1
surplus extraction,task,cs.LG,1
temporal convolution module,model,cs.LG,1
temporal analysis,method,cs.CL,1
template accuracy,metric,cs.CL,1
telegram posts,application,cs.CL,1
teacher-student model,model,cs.CV,1
teacher-student framework,method,cs.CV,1
task-semantic field factorization,method,cs.LG,1
task-rubric rewards,metric,cs.LG,1
task-relevant computations,task,cs.LG,1
task-oriented scenarios,dataset,cs.AI,1
task constraints,risk,cs.AI,1
synaptic rule,method,cs.LG,1
table qa,task,cs.CL,1
table insight,task,cs.CL,1
systems development life cycle (sdlc,theory,cs.CL,1
synthetic labeling,task,cs.CL,1
synthetic fog generation,task,cs.CV,1
synthetic content analysis,task,cs.CR,1
synthetic consumer data,dataset,cs.AI,1
synthetic cohort,dataset,cs.CL,1
syntactic quality,metric,cs.CL,1
syntactic attacks,risk,cs.CR,1
synchronized trajectory,task,cs.LG,1
tabular classifier,tool,cs.CL,1
utility-aligned canonical decomposition,method,stat.ME,1
utility classifier,tool,cs.CR,1
upstream metric,metric,cs.CL,1
unigram-lm,method,cs.CL,1
unified multimodal model,model,cs.CV,1
uncertainty-driven selective refinement,method,cs.CV,1
alignment,theory,cs.SE,1
alignment,other,cs.CL,1
alignment,other,cs.AI,1
alignment,method,cs.CL,1
training epochs,task,cs.LG,1
algebraic structure,task,cs.CL,1
ai-native sql,task,cs.CL,1
agentic framework,tool,cs.CL,1
agentic ai,model,cs.AI,1
agent-based verification,method,cs.CL,1
agent-based pipeline,method,cs.CL,1
agent-based modeling,model,cs.AI,1
agent-assisted recommendation,application,cs.IR,1
agent-as-user-simulator,application,cs.IR,1
agent-as-recommender,application,cs.IR,1
agent optimization,application,cs.CL,1
aligned models,model,cs.SE,1
visual question answering,task,cs.CV,1
visual imagination,task,cs.CY,1
visual alignment reward,other,cs.AI,1
vision-language models,model,cs.CV,1
vision-language models,model,cs.CL,1
vision-language models,model,cs.AI,1
vision-language model,model,cs.LG,1
vision-language model,model,cs.HC,1
vision-language,application,cs.CV,1
vision foundation models,model,cs.CV,1
video2reaction,dataset,cs.CV,1
value alignment,theory,cs.AI,1
vex vr,application,cs.AI,1
verification-first workflow,method,cs.AI,1
verification-first execution framework,method,cs.AI,1
verification,task,cs.CR,1
verifiable rewards,metric,cs.AI,1
vendorbench-100,other,cs.CV,1
vector field,model,cs.CL,1
variational source condition,theory,stat.ML,1
variational autoencoder,model,cs.LG,1
variable semantics,theory,cs.LG,1
variable naming conventions,method,cs.CR,1
video diffusion models,model,cs.CV,1
tri-mode language model,model,cs.CL,1
tree-verification,method,cs.LG,1
tree-structured rollout,method,cs.AI,1
tree-of-thoughts (tot,method,cs.CV,1
transformer-based vision-language models,model,cs.LG,1
transformer-based topic modeling,method,cs.CL,1
transformer-based models,model,cs.CL,1
transformer-based model,model,cs.RO,1
transformer-based architectures,model,cs.CV,1
transformer encoder,model,cs.LG,1
transformer decoder,model,cs.CL,1
agent attention mechanism,model,cs.LG,1
transformer attention heads,model,cs.LG,1
transformer attention,model,cs.LG,1
transformer architecture,model,cs.CL,1
transformer,model,cs.CV,1
transformer,model,cs.AI,1
transfer learning,theory,cs.LG,1
transaction history,dataset,cs.AI,1
trajectory-aware benchmarks,other,cs.SE,1
trajectory planning,task,cs.RO,1
training-set coverage,metric,cs.LG,1
training-free,method,cs.CV,1
transformer circuit analysis,method,cs.LG,1
agent,tool,cs.CR,1
adversarial vulnerability,risk,cs.LG,1
adversarial strategy,method,cs.CR,1
adversarial attack,other,cs.CV,1
advantage-weighted separation,method,cs.AI,1
advantage-weighted regression,method,cs.LG,1
advantage-weighted ranking loss,method,cs.AI,1
activation magnitude,metric,cs.CL,1
advantage regularization,method,cs.CL,1
advantage awareness,theory,cs.AI,1
adolescent substance use discourse,task,cs.CL,1
truncated reasoning auc evaluation (trace,method,cs.AI,1
adapter composition schedule,method,cs.CV,1
activations,model,cs.LG,1
activation steering,method,cs.CL,1
uncertainty quantification,method,cs.CV,1
uncertainty quantification,method,cs.CL,1
unbounded positive asymmetric optimization (up,method,cs.LG,1
ucr archive,dataset,cs.LG,1
uav imagery,dataset,cs.CV,1
u-net,model,cs.LG,1
typing,task,cs.CR,1
trust region policy distillation,method,cs.LG,1
adapter gates,model,cs.CV,1
self-play,method,cs.LG,1
self-evolution module,model,cs.AI,1
self-distillation,method,cs.LG,1
self-distillation,method,cs.CL,1
self-distillation,method,cs.AI,1
self-attention mechanisms,model,cs.CL,1
selective disclosure,method,cs.CR,1
segmentation,task,cs.CV,1
security metrics evaluation,metric,cs.CR,1
security governance,theory,cs.CR,1
structured radio frequency interference,task,cs.LG,1
search-routing,task,cs.CL,1
seamless interaction corpus,dataset,cs.CL,1
scl,method,cs.CL,1
sci error taxonomy,theory,cs.CL,1
scene-conditioned negative prompts,method,cs.CV,1
scene descriptors,task,cs.CV,1
scene classification,task,cs.CV,1
scalable framework,theory,cs.AI,1
scalable bayesian inference,method,stat.ML,1
scaffold,application,cs.LG,1
sampling,method,math.ST,1
section-aware relevance scoring,method,cs.AI,1
sentiment analysis,task,cs.CL,1
sentiment analysis,application,cs.CL,1
sentence transformer,model,cs.CL,1
semi-autoregressive architecture,model,cs.AI,1
semantically equivalent code patterns,method,cs.CR,1
semantic stages,task,cs.SD,1
semantic segmentation,method,cs.CV,1
semantic quality,metric,cs.CL,1
semantic homogenization,theory,cs.CL,1
semantic distortion,risk,stat.ML,1
semantic coverage,metric,cs.CV,1
self-play,task,cs.LG,1
semantic annotation,task,cs.LG,1
semantic alignment channel,tool,cs.CL,1
self-supervised transformer,model,cs.LG,1
self-supervised pretraining,method,cs.CV,1
self-supervised learning,theory,cs.LG,1
self-supervised learning,method,cs.LG,1
self-supervised encoder,model,cs.LG,1
self-speculation decoding,task,cs.CL,1
self-similarity,theory,cs.LG,1
self-review,method,cs.LG,1
self-reported diagnosis,task,cs.CL,1
semantic corruption,risk,cs.SE,1
reward signal stationarity,theory,cs.LG,1
reward shaping,method,cs.LG,1
reward hacking,risk,cs.LG,1
reward hacking,risk,cs.AI,1
reward function design,method,cs.CL,1
reversibility,risk,cs.AI,1
retrosynthesis accuracy,metric,cs.CL,1
retrosynthesis,task,cs.LG,1
retrieval-augmented generation,method,cs.CV,1
retrieval-augmented generation,method,cs.CL,1
sample efficiency,metric,cs.LG,1
retrieval,method,cs.CY,1
restoration quality,metric,cs.CV,1
response latency,metric,cs.CL,1
resource-constrained embedded device,application,cs.PF,1
resource creation,method,cs.AI,1
residual variance,metric,cs.LG,1
long-form qa benchmarks,other,cs.CL,1
research ideation,task,cs.AI,1
requirement disambiguation,task,cs.SE,1
reproducing kernel hilbert space,model,stat.ML,1
reproducibility,metric,cs.LG,1
retrieval,task,cs.CV,1
safetyverifier,tool,cs.AI,1
safety guardrails,tool,cs.AI,1
safety,other,cs.AI,1
runbugrun dataset,dataset,cs.SE,1
rule-following behavior,application,cs.LG,1
rule discovery,task,eess.SP,1
routing,method,cs.LG,1
rotational sweep videos,dataset,cs.CV,1
rotary position embeddings (rope,model,cs.LG,1
rollout-guided progressive hard-case optimization,other,cs.AI,1
rollout policy optimization,method,cs.AI,1
reward valuation,task,cs.LG,1
role-aware encoding,method,cs.SD,1
role factorization,method,cs.CL,1
roc-auc,metric,cs.CV,1
robustness,risk,cs.AI,1
rl gym,tool,cs.AI,1
rl benchmark,other,cs.LG,1
rl (reinforcement learning,other,cs.CV,1
risk-controlled selective answering,method,cs.CL,1
risk score,metric,cs.CV,1
riemannian mean pooling,method,cs.CL,1
reward-swap,method,cs.LG,1
role-based policy,theory,cs.CR,1
state memory capacity,metric,cs.LG,1
star rating,metric,cs.NE,1
standard operating procedures (sop,task,cs.AI,1
stance detection,task,cs.CL,1
stability measures,metric,cs.AI,1
square-free modular multiplication,task,cs.LG,1
spike detection,task,cs.CL,1
speech-to-text alignment,task,cs.CL,1
speech recognition,task,cs.CL,1
speech intelligence,metric,cs.CL,1
sentiment and emotion classification,method,cs.CL,1
spectral preprocessing,method,cs.LG,1
spectral entropy,metric,cs.CL,1
spectral decomposition,method,cs.LG,1
spectral control,theory,cs.LG,1
spectral attention,method,cs.LG,1
specification-derived authority,theory,cs.SE,1
specification grounding,theory,cs.SE,1
speaker-separated dialogue speech,task,cs.CL,1
spatiotemporal neural models,model,cs.LG,1
spatiotemporal manifold sampling,method,cs.CV,1
spatiotemporal analysis,task,cs.AI,1
speculative decoding,method,cs.AI,1
structured newton layer parallelism,method,cs.LG,1
structured iteration workflow,method,cs.SE,1
structured feedback,tool,cs.AI,1
structured canonical lift,method,cs.RO,1
structure-aware vocabulary,model,cs.CL,1
structural tension,theory,cs.AI,1
structural metrics,metric,cs.AI,1
structural grading,method,cs.AI,1
structural and functional mri,dataset,cs.LG,1
stratified train-validation split,method,cs.CL,1
strategic bargaining,task,cs.LG,1
state-coherent screenshot set,dataset,cs.SE,1
stochastic token steering (sts,method,cs.LG,1
stochastic model-discovery operator,model,stat.ME,1
stochastic block steering (sbs,method,cs.LG,1
stochastic block models,task,cs.LG,1
stiefel layer,model,cs.LG,1
step-level reward,method,cs.AI,1
steering vector,other,cs.AI,1
statistical prevalence,metric,cs.CL,1
statistical inverse learning,theory,stat.ML,1
station observation,dataset,cs.LG,1
state-management complexity,metric,cs.SE,1
stop-gradient operator,method,cs.LG,1
smell encoder,model,cs.CV,1
smart home configuration,application,cs.SE,1
small language model,model,cs.PF,1
sketching,method,math.ST,1
singular vectors,method,cs.LG,1
singular value decomposition (svd,method,cs.CV,1
single-view,theory,cs.CV,1
single-rollout sampling,method,cs.LG,1
single-cell perturbation,task,cs.LG,1
signal-processing features,task,cs.CL,1
signal reconstruction,method,cs.LG,1
spatio-temporal encoder,model,cs.LG,1
shot-local story-global tuning objective,metric,cs.CV,1
shortest generating prompt,method,cs.CL,1
short image histories,other,cs.RO,1
shared decision making (sdm,task,cs.CL,1
sharding,method,cs.CV,1
shap explainability,method,eess.SP,1
shannon entropy,metric,cs.CL,1
sha-256 hash-chained audit log,metric,cs.CR,1
sft,method,cs.CL,1
severity phenotyping,task,cs.CL,1
sequence length,metric,cs.LG,1
shot-role prompt tokens,tool,cs.CV,1
spatio-temporal embedding,task,cs.LG,1
spatial vision perception,application,cs.LG,1
spatial understanding,other,cs.CV,1
spatial geometry,other,cs.RO,1
spatial gaussian blending,method,cs.LG,1
spatial deictic expressions,task,cs.CL,1
spatial bases,model,cs.CV,1
sparse autoencoders (saes,tool,cs.LG,1
sparse autoencoders (saes,model,cs.LG,1
sparse addressing,method,cs.LG,1
span-level uncertainty estimation,task,cs.CL,1
smooth euler characteristic transform (sect,method,cs.CV,1
source-guided candidate-generation,method,cs.LG,1
source trustworthiness,risk,cs.CY,1
source of authority,theory,cs.SE,1
softmax,tool,cs.LG,1
softmax,other,cs.LG,1
soft-label prediction,method,cs.CL,1
soft sensing,application,cs.LG,1
sociolinguistic characteristics,task,cs.AI,1
social norms,theory,cs.AI,1
social media,application,cs.CV,1
snowball citation expansion,method,cs.AI,1
span-annotated corpus,dataset,cs.CL,1
cross-domain evaluation,other,cs.CV,1
cross-document claim graph,model,cs.CL,1
cross-depth residual factorization,method,cs.AI,1
cross-cultural comparison,other,cs.CY,1
cross-center validation,other,cs.CV,1
cross-attention,method,cs.CV,1
creative process,application,cs.HC,1
coverage,metric,cs.LG,1
covariance matrix estimation,method,stat.ML,1
coupling-aware balancing loss,method,cs.LG,1
log-ratio,metric,cs.LG,1
cost-aware objective,metric,cs.CL,1
cosine similarity,metric,cs.CL,1
corpus,dataset,eess.SP,1
