canonical_arxiv_id,published_month,primary_category,concept_name,concept_type,primary_paradigm
2607.0767,2026-07,cs.CL,entity familiarity,task,Reasoning
2607.0767,2026-07,cs.CL,factual reliability,task,Reasoning
2607.0767,2026-07,cs.CL,large language models,model,Reasoning
2607.07669,2026-07,cs.CL,continual pretraining,method,Alignment/Safety
2607.07669,2026-07,cs.CL,sft,method,Alignment/Safety
2607.07669,2026-07,cs.CL,dialectal robustness,metric,Alignment/Safety
2607.07669,2026-07,cs.CL,generation,task,Alignment/Safety
2607.07669,2026-07,cs.CL,alignment,method,Alignment/Safety
2607.07669,2026-07,cs.CL,benchmark,metric,Alignment/Safety
2607.07646,2026-07,cs.AI,reinforcement learning,method,Reasoning
2607.07646,2026-07,cs.AI,transformer,model,Reasoning
2607.07646,2026-07,cs.AI,primitive skills,task,Reasoning
2607.07646,2026-07,cs.AI,compositional reasoning,task,Reasoning
2607.07646,2026-07,cs.AI,trace analysis,method,Reasoning
2607.07646,2026-07,cs.AI,rejection fine-tuning,method,Reasoning
2607.07626,2026-07,cs.CL,feeling-of-knowing (fok,task,Reasoning
2607.07626,2026-07,cs.CL,judgement-of-learning (jol,task,Reasoning
2607.07626,2026-07,cs.CL,future confidence distillation,method,Reasoning
2607.07626,2026-07,cs.CL,hidden representations,model,Reasoning
2607.07626,2026-07,cs.CL,post-solution confidence,metric,Reasoning
2607.07626,2026-07,cs.CL,pre-solution confidence,metric,Reasoning
2607.07573,2026-07,cs.LG,multi-class formulation,model,Benchmark/Evaluation
2607.07573,2026-07,cs.LG,multi-label formulation,model,Benchmark/Evaluation
2607.07573,2026-07,cs.LG,transformer encoder,model,Benchmark/Evaluation
2607.07573,2026-07,cs.LG,common weakness enumeration (cwe,task,Benchmark/Evaluation
2607.07573,2026-07,cs.LG,common vulnerabilities and exposures (cve,task,Benchmark/Evaluation
2607.07573,2026-07,cs.LG,macro-f1,metric,Benchmark/Evaluation
2607.07573,2026-07,cs.LG,hierarchy-relaxed evaluation,method,Benchmark/Evaluation
2607.07573,2026-07,cs.LG,confusion matrix,metric,Benchmark/Evaluation
2607.07557,2026-07,cs.CL,percentile-aware layerwise sparsity,method,Efficiency/Optimization
2607.07557,2026-07,cs.CL,activation magnitude,metric,Efficiency/Optimization
2607.07557,2026-07,cs.CL,pruning,method,Efficiency/Optimization
2607.07557,2026-07,cs.CL,transformer,model,Efficiency/Optimization
2607.07557,2026-07,cs.CL,perplexity,metric,Efficiency/Optimization
2607.07548,2026-07,cs.CL,hierarchical search,task,Agent/Tool Use
2607.07548,2026-07,cs.CL,role factorization,method,Agent/Tool Use
2607.07548,2026-07,cs.CL,capacity allocation,method,Agent/Tool Use
2607.07548,2026-07,cs.CL,multi-hop qa,dataset,Agent/Tool Use
2607.07548,2026-07,cs.CL,delegation,task,Agent/Tool Use
2607.07548,2026-07,cs.CL,execution,task,Agent/Tool Use
2607.07548,2026-07,cs.CL,answer generation,task,Agent/Tool Use
2607.07548,2026-07,cs.CL,quality-filtered trajectory distillation,method,Agent/Tool Use
2607.07527,2026-07,stat.ML,mahalanobis distance scores,metric,Theory/Methodology
2607.07527,2026-07,stat.ML,minimum covariance determinant (mcd,method,Theory/Methodology
2607.07527,2026-07,stat.ML,covariance matrix estimation,method,Theory/Methodology
2607.07527,2026-07,stat.ML,joint estimation,method,Theory/Methodology
2607.07521,2026-07,cs.HC,human-ai co-creation,method,Alignment/Safety
2607.07521,2026-07,cs.HC,vision-language model,model,Alignment/Safety
2607.07521,2026-07,cs.HC,constrained exploration,task,Alignment/Safety
2607.07521,2026-07,cs.HC,multimodal interaction,other,Alignment/Safety
2607.07521,2026-07,cs.HC,creative process,application,Alignment/Safety
2607.07508,2026-07,cs.LG,asynchronous reinforcement learning,method,Reasoning
2607.07508,2026-07,cs.LG,single-rollout sampling,method,Reasoning
2607.07508,2026-07,cs.LG,token-level clipping,method,Reasoning
2607.07508,2026-07,cs.LG,rl benchmark,other,Reasoning
2607.07507,2026-07,cs.CV,post hallucination reasoning (phr,task,Reasoning
2607.07507,2026-07,cs.CV,hallucination inference and verification engine (hive,tool,Reasoning
2607.07507,2026-07,cs.CV,multimodal pattern,metric,Reasoning
2607.07507,2026-07,cs.CV,semantic coverage,metric,Reasoning
2607.07507,2026-07,cs.CV,reasoning dynamics,metric,Reasoning
2607.07494,2026-07,cs.DC,low-precision gradient communication,method,Efficiency/Optimization
2607.07494,2026-07,cs.DC,geometry-aware transformation,method,Efficiency/Optimization
2607.07494,2026-07,cs.DC,fp8,metric,Efficiency/Optimization
2607.07494,2026-07,cs.DC,llama-300m,dataset,Efficiency/Optimization
2607.07494,2026-07,cs.DC,llama-600m,dataset,Efficiency/Optimization
2607.07478,2026-07,cs.LG,spectral preprocessing,method,Efficiency/Optimization
2607.07478,2026-07,cs.LG,query-key projections,task,Efficiency/Optimization
2607.07478,2026-07,cs.LG,transformer attention,model,Efficiency/Optimization
2607.07478,2026-07,cs.LG,character-level language modeling,application,Efficiency/Optimization
2607.07478,2026-07,cs.LG,frequency-domain mixing,theory,Efficiency/Optimization
2607.07469,2026-07,cs.CL,synthetic labeling,task,Benchmark/Evaluation
2607.07469,2026-07,cs.CL,majority voting,method,Benchmark/Evaluation
2607.07469,2026-07,cs.CL,human validation,method,Benchmark/Evaluation
2607.07469,2026-07,cs.CL,multi-llm arena,tool,Benchmark/Evaluation
2607.07468,2026-07,stat.ML,1-regularization,method,Theory/Methodology
2607.07468,2026-07,stat.ML,empirical risk minimization,method,Theory/Methodology
2607.07468,2026-07,stat.ML,statistical inverse learning,theory,Theory/Methodology
2607.07468,2026-07,stat.ML,reproducing kernel hilbert space,model,Theory/Methodology
2607.07468,2026-07,stat.ML,variational source condition,theory,Theory/Methodology
2607.07468,2026-07,stat.ML,effective dimension,metric,Theory/Methodology
2607.07467,2026-07,cs.AI,multi-agent architecture,model,Agent/Tool Use
2607.07467,2026-07,cs.AI,dynamic tool-orchestration engine,tool,Agent/Tool Use
2607.07467,2026-07,cs.AI,self-evolution module,model,Agent/Tool Use
2607.07467,2026-07,cs.AI,feedback-based refinement,method,Agent/Tool Use
2607.07467,2026-07,cs.AI,natural language specification,application,Agent/Tool Use
2607.07467,2026-07,cs.AI,analytical workflow,application,Agent/Tool Use
2607.07467,2026-07,cs.AI,spatiotemporal analysis,task,Agent/Tool Use
2607.07467,2026-07,cs.AI,narrative generation,application,Agent/Tool Use
2607.07408,2026-07,cs.CL,prosodic segmentation,task,Reasoning
2607.07408,2026-07,cs.CL,whisper,model,Reasoning
2607.07408,2026-07,cs.CL,nurc-sp dataset,dataset,Reasoning
2607.07408,2026-07,cs.CL,mupe-diversidades dataset,dataset,Reasoning
2607.07408,2026-07,cs.CL,f1 score,metric,Reasoning
2607.07401,2026-07,cs.CV,heterogeneity-adaptive diffusion schrodinger bridge,method,Reasoning
2607.07401,2026-07,cs.CV,vision-language model,model,Reasoning
2607.07401,2026-07,cs.CV,region context embeddings,task,Reasoning
2607.07401,2026-07,cs.CV,dual-stage guidance mechanism,method,Reasoning
2607.07401,2026-07,cs.CV,pet-guided noise modulation module,tool,Reasoning
2607.07395,2026-07,cs.CV,graph attention network (gat,model,Reasoning
2607.07395,2026-07,cs.CV,symbolic attribute graph,model,Reasoning
2607.07395,2026-07,cs.CV,expected calibration error (ece,metric,Reasoning
2607.07388,2026-07,cs.CL,offline construction,method,Efficiency/Optimization
2607.07388,2026-07,cs.CL,external corpus,dataset,Efficiency/Optimization
2607.07388,2026-07,cs.CL,gpu--dram--ssd hierarchy,model,Efficiency/Optimization
2607.07388,2026-07,cs.CL,early-exit guided predictive prefetching,method,Efficiency/Optimization
2607.07388,2026-07,cs.CL,external-memory latency,risk,Efficiency/Optimization
2607.07386,2026-07,cs.LG,sparse addressing,method,Efficiency/Optimization
2607.07386,2026-07,cs.LG,gated linear rnn,model,Efficiency/Optimization
2607.07386,2026-07,cs.LG,hidden state,task,Efficiency/Optimization
2607.07386,2026-07,cs.LG,state memory capacity,metric,Efficiency/Optimization
2607.07382,2026-07,cs.LG,vision-language model,model,Benchmark/Evaluation
2607.07382,2026-07,cs.LG,fast radio burst,task,Benchmark/Evaluation
2607.07382,2026-07,cs.LG,zero-shot,theory,Benchmark/Evaluation
2607.07382,2026-07,cs.LG,structured radio frequency interference,task,Benchmark/Evaluation
2607.07382,2026-07,cs.LG,natural-language justification,method,Benchmark/Evaluation
2607.07379,2026-07,cs.AI,physics-audited agentic sciml,method,Agent/Tool Use
2607.07379,2026-07,cs.AI,verification-first workflow,method,Agent/Tool Use
2607.07379,2026-07,cs.AI,physics requirements,theory,Agent/Tool Use
2607.07379,2026-07,cs.AI,machine-checkable,tool,Agent/Tool Use
2607.07379,2026-07,cs.AI,surrogate models,model,Agent/Tool Use
2607.07375,2026-07,cs.LG,spectral decomposition,method,Reasoning
2607.07375,2026-07,cs.LG,singular vectors,method,Reasoning
2607.07375,2026-07,cs.LG,transformer-based vision-language models,model,Reasoning
2607.07375,2026-07,cs.LG,adversarial vulnerability,risk,Reasoning
2607.07375,2026-07,cs.LG,white-box attack,method,Reasoning
2607.07357,2026-07,cs.RO,knowledge distillation,method,Reasoning
2607.07357,2026-07,cs.RO,transformer-based model,model,Reasoning
2607.07357,2026-07,cs.RO,multi-modal input,other,Reasoning
2607.07357,2026-07,cs.RO,human-aware representation,other,Reasoning
2607.07357,2026-07,cs.RO,trajectory planning,task,Reasoning
2607.07321,2026-07,cs.AI,standard operating procedures (sop,task,Agent/Tool Use
2607.07321,2026-07,cs.AI,iterative tool optimization,method,Agent/Tool Use
2607.07321,2026-07,cs.AI,atomic actions,task,Agent/Tool Use
2607.07321,2026-07,cs.AI,recurring workflows,task,Agent/Tool Use
2607.07321,2026-07,cs.AI,toolset,tool,Agent/Tool Use
2607.07316,2026-07,cs.LG,mechanistic interpretability,theory,Theory/Methodology
2607.07316,2026-07,cs.LG,transformer circuit analysis,method,Theory/Methodology
2607.07316,2026-07,cs.LG,sparse autoencoders (saes,tool,Theory/Methodology
2607.07316,2026-07,cs.LG,attention mechanisms,model,Theory/Methodology
2607.07316,2026-07,cs.LG,induction heads,model,Theory/Methodology
2607.07316,2026-07,cs.LG,superposition,risk,Theory/Methodology
2607.07316,2026-07,cs.LG,polysemanticity,risk,Theory/Methodology
2607.07316,2026-07,cs.LG,steering vectors,method,Theory/Methodology
2607.07289,2026-07,cond-mat.mtrl-sci,bayesian optimization,method,Efficiency/Optimization
2607.07289,2026-07,cond-mat.mtrl-sci,surrogate modeling,method,Efficiency/Optimization
2607.07289,2026-07,cond-mat.mtrl-sci,genetic algorithm,model,Efficiency/Optimization
2607.07289,2026-07,cond-mat.mtrl-sci,multi-fidelity framework,theory,Efficiency/Optimization
2607.07289,2026-07,cond-mat.mtrl-sci,elastic modulus,metric,Efficiency/Optimization
2607.07277,2026-07,cs.CL,interpretation difficulty,task,Reasoning
2607.07277,2026-07,cs.CL,local context,metric,Reasoning
2607.07277,2026-07,cs.CL,external knowledge,model,Reasoning
2607.07277,2026-07,cs.CL,extended conversational context,dataset,Reasoning
2607.07277,2026-07,cs.CL,human interpretation,application,Reasoning
2607.07277,2026-07,cs.CL,large language model,model,Reasoning
2607.07267,2026-07,cs.CY,conceptual structure,theory,Theory/Methodology
2607.07267,2026-07,cs.CY,visual imagination,task,Theory/Methodology
2607.07267,2026-07,cs.CY,cultural variation,risk,Theory/Methodology
2607.07267,2026-07,cs.CY,embodied experience,application,Theory/Methodology
2607.07267,2026-07,cs.CY,multimodal representation,model,Theory/Methodology
2607.07267,2026-07,cs.CY,embedding model,metric,Theory/Methodology
2607.07267,2026-07,cs.CY,cross-cultural comparison,other,Theory/Methodology
2607.07251,2026-07,cs.CL,spatial deictic expressions,task,Multimodal
2607.07251,2026-07,cs.CL,vision-language models,model,Multimodal
2607.07251,2026-07,cs.CL,multilingual ability,application,Multimodal
2607.07219,2026-07,cs.CV,vision foundation models,model,Dataset/Benchmark
2607.07219,2026-07,cs.CV,transformer-based architectures,model,Dataset/Benchmark
2607.07219,2026-07,cs.CV,self-supervised pretraining,method,Dataset/Benchmark
2607.07219,2026-07,cs.CV,segmentation,task,Dataset/Benchmark
2607.07219,2026-07,cs.CV,classification,task,Dataset/Benchmark
2607.07219,2026-07,cs.CV,cross-center validation,other,Dataset/Benchmark
2607.07219,2026-07,cs.CV,cross-scanner validation,other,Dataset/Benchmark
2607.07219,2026-07,cs.CV,anatomical validation,other,Dataset/Benchmark
2607.07189,2026-07,cs.AI,computational imaging,task,Benchmark/Evaluation
2607.07189,2026-07,cs.AI,agentic ai,model,Benchmark/Evaluation
2607.07189,2026-07,cs.AI,ray and wave optics,task,Benchmark/Evaluation
2607.07189,2026-07,cs.AI,image signal processing,task,Benchmark/Evaluation
2607.07189,2026-07,cs.AI,inverse reconstruction,task,Benchmark/Evaluation
2607.07189,2026-07,cs.AI,computational sensing,task,Benchmark/Evaluation
2607.07189,2026-07,cs.AI,calibration,task,Benchmark/Evaluation
2607.07189,2026-07,cs.AI,vision-language models,model,Benchmark/Evaluation
2607.07184,2026-07,cs.LG,deployment simulation,method,Benchmark/Evaluation
2607.07184,2026-07,cs.LG,misalignment,risk,Benchmark/Evaluation
2607.07184,2026-07,cs.LG,gpt-5 series,model,Benchmark/Evaluation
2607.07184,2026-07,cs.LG,tool resampling,method,Benchmark/Evaluation
2607.07184,2026-07,cs.LG,production traffic,metric,Benchmark/Evaluation
2607.07179,2026-07,cs.CV,vision-language model,model,Multimodal
2607.07179,2026-07,cs.CV,document visual question answering,task,Multimodal
2607.07179,2026-07,cs.CV,zero-shot evaluation,other,Multimodal
2607.07179,2026-07,cs.CV,few-shot learning,other,Multimodal
2607.07179,2026-07,cs.CV,cross-domain evaluation,other,Multimodal
2607.07178,2026-07,cs.LG,multi-task reinforcement learning,task,Alignment/Safety
2607.07178,2026-07,cs.LG,policy optimization,method,Alignment/Safety
2607.07178,2026-07,cs.LG,entropy pacing,method,Alignment/Safety
2607.07178,2026-07,cs.LG,dynamic clipping,method,Alignment/Safety
2607.07128,2026-07,cs.LG,distributed sparse interventions,method,Efficiency/Optimization
2607.07128,2026-07,cs.LG,neuron-level interventions,method,Efficiency/Optimization
2607.07128,2026-07,cs.LG,nonlinear effects,theory,Efficiency/Optimization
2607.07128,2026-07,cs.LG,task-relevant computations,task,Efficiency/Optimization
2607.07128,2026-07,cs.LG,instruction-tuned language models,model,Efficiency/Optimization
2607.07117,2026-07,cs.CV,tree-of-thoughts (tot,method,Reasoning
2607.07117,2026-07,cs.CV,multi-stage reasoning,method,Reasoning
2607.07117,2026-07,cs.CV,prompt construction,risk,Reasoning
2607.07117,2026-07,cs.CV,image synthesis,application,Reasoning
2607.07117,2026-07,cs.CV,latent compositional pattern,task,Reasoning
2607.07103,2026-07,cs.LG,knowledge-augmented dataset,dataset,Dataset/Benchmark
2607.07103,2026-07,cs.LG,large language model,model,Dataset/Benchmark
2607.07103,2026-07,cs.LG,synchronized trajectory,task,Dataset/Benchmark
2607.07103,2026-07,cs.LG,semantic annotation,task,Dataset/Benchmark
2607.07103,2026-07,cs.LG,closed-loop simulator,tool,Dataset/Benchmark
2607.07097,2026-07,cs.AI,operational reframing,risk,Alignment/Safety
2607.07097,2026-07,cs.AI,planner behavior,other,Alignment/Safety
2607.07097,2026-07,cs.AI,approval-framed delegation,other,Alignment/Safety
2607.07097,2026-07,cs.AI,multi-agent llm safety,application,Alignment/Safety
2607.07066,2026-07,cs.LG,monoid extension,theory,Reasoning
2607.07066,2026-07,cs.LG,grpcompviarep (gcr,theory,Reasoning
2607.07066,2026-07,cs.LG,local hierarchical algebraic regions,model,Reasoning
2607.07066,2026-07,cs.LG,fourier mechanisms,method,Reasoning
2607.07066,2026-07,cs.LG,square-free modular multiplication,task,Reasoning
2607.0705,2026-07,cs.CL,on-policy distillation,method,Agent/Tool Use
2607.0705,2026-07,cs.CL,tool call,task,Agent/Tool Use
2607.0705,2026-07,cs.CL,jensen-shannon divergence,metric,Agent/Tool Use
2607.0705,2026-07,cs.CL,token-level signals,task,Agent/Tool Use
2607.0705,2026-07,cs.CL,behavior leverage imbalance,theory,Agent/Tool Use
2607.07047,2026-07,cs.CL,riemannian mean pooling,method,Theory/Methodology
2607.07047,2026-07,cs.CL,fr chet mean,method,Theory/Methodology
2607.07047,2026-07,cs.CL,symmetric positive definite (spd) manifold,theory,Theory/Methodology
2607.07047,2026-07,cs.CL,pullback metrics,method,Theory/Methodology
2607.07047,2026-07,cs.CL,analytical jacobian,method,Theory/Methodology
2607.07033,2026-07,cs.CV,visual token pruning,task,Efficiency/Optimization
2607.07033,2026-07,cs.CV,relevance anchor,model,Efficiency/Optimization
2607.07033,2026-07,cs.CV,contextual expansion,method,Efficiency/Optimization
2607.07033,2026-07,cs.CV,novelty profile,metric,Efficiency/Optimization
2607.07033,2026-07,cs.CV,importance-weighted novelty,metric,Efficiency/Optimization
2607.07027,2026-07,cs.LG,multimodal generative framework,model,Multimodal
2607.07027,2026-07,cs.LG,latent graph encoding,method,Multimodal
2607.07027,2026-07,cs.LG,functional connectivity,task,Multimodal
2607.07027,2026-07,cs.LG,variational autoencoder,model,Multimodal
2607.07027,2026-07,cs.LG,transformer,model,Multimodal
2607.07027,2026-07,cs.LG,generative adversarial network,model,Multimodal
2607.07027,2026-07,cs.LG,diffusion model,model,Multimodal
2607.07027,2026-07,cs.LG,structural and functional mri,dataset,Multimodal
2607.07026,2026-07,cs.LG,finite automaton,theory,Efficiency/Optimization
2607.07026,2026-07,cs.LG,constrained decoding,task,Efficiency/Optimization
2607.07026,2026-07,cs.LG,mean-field posterior,model,Efficiency/Optimization
2607.07026,2026-07,cs.LG,efficient inference,method,Efficiency/Optimization
2607.07026,2026-07,cs.LG,sequence length,metric,Efficiency/Optimization
2607.07021,2026-07,cs.AI,social norms,theory,Alignment/Safety
2607.07021,2026-07,cs.AI,human-ai coordination,application,Alignment/Safety
2607.07021,2026-07,cs.AI,dynamic interaction,task,Alignment/Safety
2607.07021,2026-07,cs.AI,value alignment,theory,Alignment/Safety
2607.07021,2026-07,cs.AI,advantage awareness,theory,Alignment/Safety
2607.07021,2026-07,cs.AI,predictability,theory,Alignment/Safety
2607.07003,2026-07,cs.LG,sycophancy,other,Alignment/Safety
2607.07003,2026-07,cs.LG,linear probes,method,Alignment/Safety
2607.07003,2026-07,cs.LG,steering vectors,method,Alignment/Safety
2607.07003,2026-07,cs.LG,activations,model,Alignment/Safety
2607.07003,2026-07,cs.LG,representation sharing,metric,Alignment/Safety
2607.06999,2026-07,cs.LG,physics-guided machine learning,theory,Reasoning
2607.06999,2026-07,cs.LG,spatiotemporal neural models,model,Reasoning
2607.06999,2026-07,cs.LG,fuel density prediction,task,Reasoning
2607.06999,2026-07,cs.LG,mass-conserving fuel transport,metric,Reasoning
2607.06999,2026-07,cs.LG,rate-of-spread estimation,metric,Reasoning
2607.06993,2026-07,cs.AI,retrieval-augmented generation,method,Reasoning
2607.06993,2026-07,cs.AI,behavioral profile,task,Reasoning
2607.06993,2026-07,cs.AI,continued pre-training,method,Reasoning
2607.06993,2026-07,cs.AI,reinforcement learning,method,Reasoning
2607.06993,2026-07,cs.AI,verifiable rewards,metric,Reasoning
2607.06993,2026-07,cs.AI,transaction history,dataset,Reasoning
2607.06993,2026-07,cs.AI,digital twin,application,Reasoning
2607.06987,2026-07,cs.LG,probability capacity (cap,theory,Reasoning
2607.06987,2026-07,cs.LG,unbounded positive asymmetric optimization (up,method,Reasoning
2607.06987,2026-07,cs.LG,importance sampling (is,method,Reasoning
2607.06987,2026-07,cs.LG,stop-gradient operator,method,Reasoning
2607.06987,2026-07,cs.LG,clip,method,Reasoning
2607.06974,2026-07,cs.CL,modular instruction memory,model,Reasoning
2607.06974,2026-07,cs.CL,learnable selection,method,Reasoning
2607.06974,2026-07,cs.CL,coarse-to-fine retrieval,method,Reasoning
2607.06974,2026-07,cs.CL,sub-goal embeddings,model,Reasoning
2607.06974,2026-07,cs.CL,sub-instructions,model,Reasoning
2607.06963,2026-07,cs.CR,large language models,model,Benchmark/Evaluation
2607.06963,2026-07,cs.CR,generative ai,model,Benchmark/Evaluation
2607.06963,2026-07,cs.CR,cybersecurity,application,Benchmark/Evaluation
2607.06963,2026-07,cs.CR,privacy,application,Benchmark/Evaluation
2607.06963,2026-07,cs.CR,zero-day detection,task,Benchmark/Evaluation
2607.06963,2026-07,cs.CR,devsecops,application,Benchmark/Evaluation
2607.06963,2026-07,cs.CR,federated learning,application,Benchmark/Evaluation
2607.06963,2026-07,cs.CR,synthetic content analysis,task,Benchmark/Evaluation
2607.0694,2026-07,cs.CL,multifactor scoring system,theory,Benchmark/Evaluation
2607.0694,2026-07,cs.CL,accuracy,metric,Benchmark/Evaluation
2607.0694,2026-07,cs.CL,conciseness,metric,Benchmark/Evaluation
2607.0694,2026-07,cs.CL,factual consistency,metric,Benchmark/Evaluation
2607.0694,2026-07,cs.CL,readability,metric,Benchmark/Evaluation
2607.0694,2026-07,cs.CL,coherence,metric,Benchmark/Evaluation
2607.0694,2026-07,cs.CL,graphical user interface,tool,Benchmark/Evaluation
2607.06924,2026-07,cs.LG,doob h-transform,theory,Reasoning
2607.06924,2026-07,cs.LG,synaptic rule,method,Reasoning
2607.06924,2026-07,cs.LG,intrinsic noise,risk,Reasoning
2607.06924,2026-07,cs.LG,consolidation,task,Reasoning
2607.06924,2026-07,cs.LG,barrier-conditioning,method,Reasoning
2607.06919,2026-07,cs.CV,multi-view context,task,Reasoning
2607.06919,2026-07,cs.CV,transformer,model,Reasoning
2607.06919,2026-07,cs.CV,rotational sweep videos,dataset,Reasoning
2607.06919,2026-07,cs.CV,biopsy acquisition,application,Reasoning
2607.06919,2026-07,cs.CV,risk score,metric,Reasoning
2607.06918,2026-07,cs.CV,low-rank adaptation (lora,method,Efficiency/Optimization
2607.06918,2026-07,cs.CV,parameter-efficient fine-tuning (peft,method,Efficiency/Optimization
2607.06918,2026-07,cs.CV,singular value decomposition (svd,method,Efficiency/Optimization
2607.06918,2026-07,cs.CV,spatial bases,model,Efficiency/Optimization
2607.06918,2026-07,cs.CV,channel adaptation,method,Efficiency/Optimization
2607.06918,2026-07,cs.CV,convolutional kernels,model,Efficiency/Optimization
2607.06882,2026-07,cs.RO,low-rank adaptation (lora,method,Reasoning
2607.06882,2026-07,cs.RO,multimodal large language model (mllm,model,Reasoning
2607.06882,2026-07,cs.RO,discrete token vocabulary,task,Reasoning
2607.06882,2026-07,cs.RO,cross-entropy training,other,Reasoning
2607.06882,2026-07,cs.RO,short image histories,other,Reasoning
2607.06879,2026-07,cs.LG,best-arm identification,task,Theory/Methodology
2607.06879,2026-07,cs.LG,proxy score,metric,Theory/Methodology
2607.06879,2026-07,cs.LG,heteroscedastic identification,theory,Theory/Methodology
2607.06879,2026-07,cs.LG,control-variate adjustment,method,Theory/Methodology
2607.06879,2026-07,cs.LG,residual variance,metric,Theory/Methodology
2607.06879,2026-07,cs.LG,ordinary least squares fit,method,Theory/Methodology
2607.06879,2026-07,cs.LG,chi-square law,theory,Theory/Methodology
2607.06875,2026-07,cs.CV,multimodal,task,Multimodal
2607.06875,2026-07,cs.CV,video2reaction,dataset,Multimodal
2607.06875,2026-07,cs.CV,emotion distribution,task,Multimodal
2607.06875,2026-07,cs.CV,social media,application,Multimodal
2607.06875,2026-07,cs.CV,multi-agent pipeline,method,Multimodal
2607.06875,2026-07,cs.CV,open-source llms,tool,Multimodal
2607.06855,2026-07,cs.LG,self-distillation,method,Reasoning
2607.06855,2026-07,cs.LG,hellinger loss,metric,Reasoning
2607.06855,2026-07,cs.LG,fisher-rao distance,metric,Reasoning
2607.06855,2026-07,cs.LG,natural-gradient update,method,Reasoning
2607.06855,2026-07,cs.LG,drift,risk,Reasoning
2607.06854,2026-07,cs.LG,reinforcement learning,method,Agent/Tool Use
2607.06854,2026-07,cs.LG,game-playing agent,application,Agent/Tool Use
2607.06854,2026-07,cs.LG,curriculum learning,method,Agent/Tool Use
2607.06854,2026-07,cs.LG,expert system,model,Agent/Tool Use
2607.06854,2026-07,cs.LG,reward shaping,method,Agent/Tool Use
2607.06854,2026-07,cs.LG,self-play,method,Agent/Tool Use
