concept_name,concept_type,primary_paradigm,paper_count
security metrics evaluation,metric,Agent/Tool Use,1
security governance,theory,Alignment/Safety,1
section-aware relevance scoring,method,Agent/Tool Use,1
search-routing,task,Reasoning,1
seamless interaction corpus,dataset,Benchmark/Evaluation,1
scl,method,Alignment/Safety,1
sci error taxonomy,theory,Benchmark/Evaluation,1
self-evolution module,model,Agent/Tool Use,1
shared decision making (sdm,task,Theory/Methodology,1
sharding,method,Efficiency/Optimization,1
shap explainability,method,Reasoning,1
shannon entropy,metric,Theory/Methodology,1
sha-256 hash-chained audit log,metric,Alignment/Safety,1
sft,method,Alignment/Safety,1
severity phenotyping,task,Reasoning,1
sequence length,metric,Efficiency/Optimization,1
sentiment and emotion classification,method,Benchmark/Evaluation,1
sentiment analysis,task,Alignment/Safety,1
sentiment analysis,application,Theory/Methodology,1
self-supervised transformer,model,Benchmark/Evaluation,1
semi-autoregressive architecture,model,Efficiency/Optimization,1
semantically equivalent code patterns,method,Theory/Methodology,1
semantic stages,task,Efficiency/Optimization,1
semantic segmentation,method,Application,1
semantic quality,metric,Reasoning,1
semantic homogenization,theory,Theory/Methodology,1
semantic distortion,risk,Theory/Methodology,1
semantic coverage,metric,Reasoning,1
semantic corruption,risk,Alignment/Safety,1
semantic annotation,task,Dataset/Benchmark,1
semantic alignment channel,tool,Reasoning,1
sentence transformer,model,Theory/Methodology,1
rl benchmark,other,Reasoning,1
rl (reinforcement learning,other,Agent/Tool Use,1
risk-controlled selective answering,method,Alignment/Safety,1
risk score,metric,Reasoning,1
riemannian mean pooling,method,Theory/Methodology,1
reward-swap,method,Alignment/Safety,1
reward valuation,task,Alignment/Safety,1
reward signal stationarity,theory,Alignment/Safety,1
reward shaping,method,Agent/Tool Use,1
reward hacking,risk,Reasoning,1
reward hacking,risk,Agent/Tool Use,1
scene-conditioned negative prompts,method,Reasoning,1
reversibility,risk,Theory/Methodology,1
retrosynthesis accuracy,metric,Reasoning,1
retrosynthesis,task,Benchmark/Evaluation,1
retrieval,task,Multimodal,1
retrieval,method,Benchmark/Evaluation,1
restoration quality,metric,Reasoning,1
response latency,metric,Benchmark/Evaluation,1
long-form qa benchmarks,other,Alignment/Safety,1
resource creation,method,Theory/Methodology,1
residual variance,metric,Theory/Methodology,1
residual streams,model,Reasoning,1
reward function design,method,Reasoning,1
scene descriptors,task,Multimodal,1
scene classification,task,Reasoning,1
scalable framework,theory,Agent/Tool Use,1
scalable bayesian inference,method,Theory/Methodology,1
scaffold,application,Benchmark/Evaluation,1
sampling,method,Theory/Methodology,1
sample efficiency,metric,Reasoning,1
safetyverifier,tool,RAG/Retrieval,1
safety guardrails,tool,Agent/Tool Use,1
safety,other,Alignment/Safety,1
runbugrun dataset,dataset,Alignment/Safety,1
rl gym,tool,Agent/Tool Use,1
rule discovery,task,Benchmark/Evaluation,1
routing,method,Efficiency/Optimization,1
rotational sweep videos,dataset,Reasoning,1
rotary position embeddings (rope,model,Theory/Methodology,1
rollout-guided progressive hard-case optimization,other,Alignment/Safety,1
rollout policy optimization,method,Reasoning,1
role-based policy,theory,Alignment/Safety,1
role-aware encoding,method,Theory/Methodology,1
role factorization,method,Agent/Tool Use,1
roc-auc,metric,Benchmark/Evaluation,1
robustness,risk,Benchmark/Evaluation,1
rule-following behavior,application,Theory/Methodology,1
step-level reward,method,Reasoning,1
steering vectors,method,Theory/Methodology,1
steering vectors,method,Alignment/Safety,1
steering vector,other,Alignment/Safety,1
statistical prevalence,metric,Theory/Methodology,1
statistical inverse learning,theory,Theory/Methodology,1
station observation,dataset,Reasoning,1
state-management complexity,metric,Benchmark/Evaluation,1
state-coherent screenshot set,dataset,Benchmark/Evaluation,1
