canonical_arxiv_id,published_month,primary_category,concept_name,concept_type
2607.07673,2026-07,cs.CV,clinical validation,application
2607.07673,2026-07,cs.CV,image-text pairs,dataset
2607.07673,2026-07,cs.CV,benchmark,metric
2607.07673,2026-07,cs.CV,medical figure classification,task
2607.07673,2026-07,cs.CV,visual question-answering,application
2607.07673,2026-07,cs.CV,retrieval,task
2607.0767,2026-07,cs.CL,activation dispersion,metric
2607.0767,2026-07,cs.CL,inverse participation ratio,metric
2607.0767,2026-07,cs.CL,spectral entropy,metric
2607.0767,2026-07,cs.CL,entity familiarity,task
2607.0767,2026-07,cs.CL,factual reliability,task
2607.0767,2026-07,cs.CL,large language models,model
2607.07669,2026-07,cs.CL,continual pretraining,method
2607.07669,2026-07,cs.CL,sft,method
2607.07669,2026-07,cs.CL,dialectal robustness,metric
2607.07669,2026-07,cs.CL,generation,task
2607.07669,2026-07,cs.CL,alignment,method
2607.07669,2026-07,cs.CL,benchmark,metric
2607.07646,2026-07,cs.AI,reinforcement learning,method
2607.07646,2026-07,cs.AI,transformer,model
2607.07646,2026-07,cs.AI,primitive skills,task
2607.07646,2026-07,cs.AI,compositional reasoning,task
2607.07646,2026-07,cs.AI,trace analysis,method
2607.07646,2026-07,cs.AI,rejection fine-tuning,method
2607.07626,2026-07,cs.CL,feeling-of-knowing (fok,task
2607.07626,2026-07,cs.CL,judgement-of-learning (jol,task
2607.07626,2026-07,cs.CL,future confidence distillation,method
2607.07626,2026-07,cs.CL,hidden representations,model
2607.07626,2026-07,cs.CL,post-solution confidence,metric
2607.07626,2026-07,cs.CL,pre-solution confidence,metric
2607.07573,2026-07,cs.LG,multi-class formulation,model
2607.07573,2026-07,cs.LG,multi-label formulation,model
2607.07573,2026-07,cs.LG,transformer encoder,model
2607.07573,2026-07,cs.LG,common weakness enumeration (cwe,task
2607.07573,2026-07,cs.LG,common vulnerabilities and exposures (cve,task
2607.07573,2026-07,cs.LG,macro-f1,metric
2607.07573,2026-07,cs.LG,hierarchy-relaxed evaluation,method
2607.07573,2026-07,cs.LG,confusion matrix,metric
2607.07557,2026-07,cs.CL,percentile-aware layerwise sparsity,method
2607.07557,2026-07,cs.CL,activation magnitude,metric
2607.07557,2026-07,cs.CL,pruning,method
2607.07557,2026-07,cs.CL,transformer,model
2607.07557,2026-07,cs.CL,perplexity,metric
2607.07548,2026-07,cs.CL,hierarchical search,task
2607.07548,2026-07,cs.CL,role factorization,method
2607.07548,2026-07,cs.CL,capacity allocation,method
2607.07548,2026-07,cs.CL,multi-hop qa,dataset
2607.07548,2026-07,cs.CL,delegation,task
2607.07548,2026-07,cs.CL,execution,task
2607.07548,2026-07,cs.CL,answer generation,task
2607.07548,2026-07,cs.CL,quality-filtered trajectory distillation,method
2607.07527,2026-07,stat.ML,mahalanobis distance scores,metric
2607.07527,2026-07,stat.ML,minimum covariance determinant (mcd,method
2607.07527,2026-07,stat.ML,covariance matrix estimation,method
2607.07527,2026-07,stat.ML,joint estimation,method
2607.07521,2026-07,cs.HC,human-ai co-creation,method
2607.07521,2026-07,cs.HC,vision-language model,model
2607.07521,2026-07,cs.HC,constrained exploration,task
2607.07521,2026-07,cs.HC,multimodal interaction,other
2607.07521,2026-07,cs.HC,creative process,application
2607.07508,2026-07,cs.LG,asynchronous reinforcement learning,method
2607.07508,2026-07,cs.LG,single-rollout sampling,method
2607.07508,2026-07,cs.LG,token-level clipping,method
2607.07508,2026-07,cs.LG,rl benchmark,other
2607.07507,2026-07,cs.CV,post hallucination reasoning (phr,task
2607.07507,2026-07,cs.CV,hallucination inference and verification engine (hive,tool
2607.07507,2026-07,cs.CV,multimodal pattern,metric
2607.07507,2026-07,cs.CV,semantic coverage,metric
2607.07507,2026-07,cs.CV,reasoning dynamics,metric
2607.07494,2026-07,cs.DC,low-precision gradient communication,method
2607.07494,2026-07,cs.DC,geometry-aware transformation,method
2607.07494,2026-07,cs.DC,fp8,metric
2607.07494,2026-07,cs.DC,llama-300m,dataset
2607.07494,2026-07,cs.DC,llama-600m,dataset
2607.07478,2026-07,cs.LG,spectral preprocessing,method
2607.07478,2026-07,cs.LG,query-key projections,task
2607.07478,2026-07,cs.LG,transformer attention,model
2607.07478,2026-07,cs.LG,character-level language modeling,application
2607.07478,2026-07,cs.LG,frequency-domain mixing,theory
2607.07469,2026-07,cs.CL,synthetic labeling,task
2607.07469,2026-07,cs.CL,majority voting,method
2607.07469,2026-07,cs.CL,human validation,method
2607.07469,2026-07,cs.CL,multi-llm arena,tool
2607.07468,2026-07,stat.ML,1-regularization,method
2607.07468,2026-07,stat.ML,empirical risk minimization,method
2607.07468,2026-07,stat.ML,statistical inverse learning,theory
2607.07468,2026-07,stat.ML,reproducing kernel hilbert space,model
2607.07468,2026-07,stat.ML,variational source condition,theory
2607.07468,2026-07,stat.ML,effective dimension,metric
2607.07467,2026-07,cs.AI,multi-agent architecture,model
2607.07467,2026-07,cs.AI,dynamic tool-orchestration engine,tool
2607.07467,2026-07,cs.AI,self-evolution module,model
2607.07467,2026-07,cs.AI,feedback-based refinement,method
2607.07467,2026-07,cs.AI,natural language specification,application
2607.07467,2026-07,cs.AI,analytical workflow,application
2607.07467,2026-07,cs.AI,spatiotemporal analysis,task
2607.07467,2026-07,cs.AI,narrative generation,application
2607.07408,2026-07,cs.CL,prosodic segmentation,task
2607.07408,2026-07,cs.CL,whisper,model
2607.07408,2026-07,cs.CL,nurc-sp dataset,dataset
2607.07408,2026-07,cs.CL,mupe-diversidades dataset,dataset
2607.07408,2026-07,cs.CL,f1 score,metric
2607.07401,2026-07,cs.CV,heterogeneity-adaptive diffusion schrodinger bridge,method
2607.07401,2026-07,cs.CV,vision-language model,model
2607.07401,2026-07,cs.CV,region context embeddings,task
2607.07401,2026-07,cs.CV,dual-stage guidance mechanism,method
2607.07401,2026-07,cs.CV,pet-guided noise modulation module,tool
2607.07395,2026-07,cs.CV,graph attention network (gat,model
2607.07395,2026-07,cs.CV,symbolic attribute graph,model
2607.07395,2026-07,cs.CV,expected calibration error (ece,metric
2607.07388,2026-07,cs.CL,offline construction,method
2607.07388,2026-07,cs.CL,external corpus,dataset
2607.07388,2026-07,cs.CL,gpu--dram--ssd hierarchy,model
2607.07388,2026-07,cs.CL,early-exit guided predictive prefetching,method
2607.07388,2026-07,cs.CL,external-memory latency,risk
2607.07386,2026-07,cs.LG,sparse addressing,method
2607.07386,2026-07,cs.LG,gated linear rnn,model
2607.07386,2026-07,cs.LG,hidden state,task
2607.07386,2026-07,cs.LG,state memory capacity,metric
2607.07382,2026-07,cs.LG,vision-language model,model
2607.07382,2026-07,cs.LG,fast radio burst,task
2607.07382,2026-07,cs.LG,zero-shot,theory
2607.07382,2026-07,cs.LG,structured radio frequency interference,task
2607.07382,2026-07,cs.LG,natural-language justification,method
2607.07379,2026-07,cs.AI,physics-audited agentic sciml,method
2607.07379,2026-07,cs.AI,verification-first workflow,method
2607.07379,2026-07,cs.AI,physics requirements,theory
2607.07379,2026-07,cs.AI,machine-checkable,tool
2607.07379,2026-07,cs.AI,surrogate models,model
2607.07375,2026-07,cs.LG,spectral decomposition,method
2607.07375,2026-07,cs.LG,singular vectors,method
2607.07375,2026-07,cs.LG,transformer-based vision-language models,model
2607.07375,2026-07,cs.LG,adversarial vulnerability,risk
2607.07375,2026-07,cs.LG,white-box attack,method
2607.07357,2026-07,cs.RO,knowledge distillation,method
2607.07357,2026-07,cs.RO,transformer-based model,model
2607.07357,2026-07,cs.RO,multi-modal input,other
2607.07357,2026-07,cs.RO,human-aware representation,other
2607.07357,2026-07,cs.RO,trajectory planning,task
2607.07321,2026-07,cs.AI,standard operating procedures (sop,task
2607.07321,2026-07,cs.AI,iterative tool optimization,method
2607.07321,2026-07,cs.AI,atomic actions,task
2607.07321,2026-07,cs.AI,recurring workflows,task
2607.07321,2026-07,cs.AI,toolset,tool
2607.07316,2026-07,cs.LG,mechanistic interpretability,theory
2607.07316,2026-07,cs.LG,transformer circuit analysis,method
2607.07316,2026-07,cs.LG,sparse autoencoders (saes,tool
2607.07316,2026-07,cs.LG,attention mechanisms,model
2607.07316,2026-07,cs.LG,induction heads,model
2607.07316,2026-07,cs.LG,superposition,risk
2607.07316,2026-07,cs.LG,polysemanticity,risk
2607.07316,2026-07,cs.LG,steering vectors,method
2607.07289,2026-07,cond-mat.mtrl-sci,bayesian optimization,method
2607.07289,2026-07,cond-mat.mtrl-sci,surrogate modeling,method
2607.07289,2026-07,cond-mat.mtrl-sci,genetic algorithm,model
2607.07289,2026-07,cond-mat.mtrl-sci,multi-fidelity framework,theory
2607.07289,2026-07,cond-mat.mtrl-sci,elastic modulus,metric
2607.07277,2026-07,cs.CL,interpretation difficulty,task
2607.07277,2026-07,cs.CL,local context,metric
2607.07277,2026-07,cs.CL,external knowledge,model
2607.07277,2026-07,cs.CL,extended conversational context,dataset
2607.07277,2026-07,cs.CL,human interpretation,application
2607.07277,2026-07,cs.CL,large language model,model
2607.07267,2026-07,cs.CY,conceptual structure,theory
2607.07267,2026-07,cs.CY,visual imagination,task
2607.07267,2026-07,cs.CY,cultural variation,risk
2607.07267,2026-07,cs.CY,embodied experience,application
2607.07267,2026-07,cs.CY,multimodal representation,model
2607.07267,2026-07,cs.CY,embedding model,metric
2607.07267,2026-07,cs.CY,cross-cultural comparison,other
2607.07251,2026-07,cs.CL,spatial deictic expressions,task
2607.07251,2026-07,cs.CL,vision-language models,model
2607.07251,2026-07,cs.CL,multilingual ability,application
2607.07219,2026-07,cs.CV,vision foundation models,model
2607.07219,2026-07,cs.CV,transformer-based architectures,model
2607.07219,2026-07,cs.CV,self-supervised pretraining,method
2607.07219,2026-07,cs.CV,segmentation,task
2607.07219,2026-07,cs.CV,classification,task
2607.07219,2026-07,cs.CV,cross-center validation,other
2607.07219,2026-07,cs.CV,cross-scanner validation,other
2607.07219,2026-07,cs.CV,anatomical validation,other
2607.07189,2026-07,cs.AI,computational imaging,task
2607.07189,2026-07,cs.AI,agentic ai,model
2607.07189,2026-07,cs.AI,ray and wave optics,task
2607.07189,2026-07,cs.AI,image signal processing,task
2607.07189,2026-07,cs.AI,inverse reconstruction,task
2607.07189,2026-07,cs.AI,computational sensing,task
2607.07189,2026-07,cs.AI,calibration,task
2607.07189,2026-07,cs.AI,vision-language models,model
2607.07184,2026-07,cs.LG,deployment simulation,method
2607.07184,2026-07,cs.LG,misalignment,risk
2607.07184,2026-07,cs.LG,gpt-5 series,model
2607.07184,2026-07,cs.LG,tool resampling,method
2607.07184,2026-07,cs.LG,production traffic,metric
2607.07179,2026-07,cs.CV,vision-language model,model
2607.07179,2026-07,cs.CV,document visual question answering,task
2607.07179,2026-07,cs.CV,zero-shot evaluation,other
2607.07179,2026-07,cs.CV,few-shot learning,other
2607.07179,2026-07,cs.CV,cross-domain evaluation,other
2607.07178,2026-07,cs.LG,multi-task reinforcement learning,task
2607.07178,2026-07,cs.LG,policy optimization,method
2607.07178,2026-07,cs.LG,entropy pacing,method
2607.07178,2026-07,cs.LG,dynamic clipping,method
2607.07128,2026-07,cs.LG,distributed sparse interventions,method
2607.07128,2026-07,cs.LG,neuron-level interventions,method
2607.07128,2026-07,cs.LG,nonlinear effects,theory
2607.07128,2026-07,cs.LG,task-relevant computations,task
2607.07128,2026-07,cs.LG,instruction-tuned language models,model
2607.07117,2026-07,cs.CV,tree-of-thoughts (tot,method
2607.07117,2026-07,cs.CV,multi-stage reasoning,method
2607.07117,2026-07,cs.CV,prompt construction,risk
2607.07117,2026-07,cs.CV,image synthesis,application
2607.07117,2026-07,cs.CV,latent compositional pattern,task
2607.07103,2026-07,cs.LG,knowledge-augmented dataset,dataset
2607.07103,2026-07,cs.LG,large language model,model
2607.07103,2026-07,cs.LG,synchronized trajectory,task
2607.07103,2026-07,cs.LG,semantic annotation,task
2607.07103,2026-07,cs.LG,closed-loop simulator,tool
2607.07097,2026-07,cs.AI,operational reframing,risk
2607.07097,2026-07,cs.AI,planner behavior,other
2607.07097,2026-07,cs.AI,approval-framed delegation,other
2607.07097,2026-07,cs.AI,multi-agent llm safety,application
2607.07066,2026-07,cs.LG,monoid extension,theory
2607.07066,2026-07,cs.LG,grpcompviarep (gcr,theory
2607.07066,2026-07,cs.LG,local hierarchical algebraic regions,model
2607.07066,2026-07,cs.LG,fourier mechanisms,method
2607.07066,2026-07,cs.LG,square-free modular multiplication,task
2607.0705,2026-07,cs.CL,on-policy distillation,method
2607.0705,2026-07,cs.CL,tool call,task
2607.0705,2026-07,cs.CL,jensen-shannon divergence,metric
2607.0705,2026-07,cs.CL,token-level signals,task
2607.0705,2026-07,cs.CL,behavior leverage imbalance,theory
2607.07047,2026-07,cs.CL,riemannian mean pooling,method
2607.07047,2026-07,cs.CL,fr chet mean,method
2607.07047,2026-07,cs.CL,symmetric positive definite (spd) manifold,theory
2607.07047,2026-07,cs.CL,pullback metrics,method
2607.07047,2026-07,cs.CL,analytical jacobian,method
2607.07033,2026-07,cs.CV,visual token pruning,task
2607.07033,2026-07,cs.CV,relevance anchor,model
2607.07033,2026-07,cs.CV,contextual expansion,method
2607.07033,2026-07,cs.CV,novelty profile,metric
2607.07033,2026-07,cs.CV,importance-weighted novelty,metric
2607.07027,2026-07,cs.LG,multimodal generative framework,model
2607.07027,2026-07,cs.LG,latent graph encoding,method
2607.07027,2026-07,cs.LG,functional connectivity,task
2607.07027,2026-07,cs.LG,variational autoencoder,model
2607.07027,2026-07,cs.LG,transformer,model
2607.07027,2026-07,cs.LG,generative adversarial network,model
2607.07027,2026-07,cs.LG,diffusion model,model
2607.07027,2026-07,cs.LG,structural and functional mri,dataset
2607.07026,2026-07,cs.LG,finite automaton,theory
2607.07026,2026-07,cs.LG,constrained decoding,task
2607.07026,2026-07,cs.LG,mean-field posterior,model
2607.07026,2026-07,cs.LG,efficient inference,method
2607.07026,2026-07,cs.LG,sequence length,metric
2607.07021,2026-07,cs.AI,social norms,theory
2607.07021,2026-07,cs.AI,human-ai coordination,application
2607.07021,2026-07,cs.AI,dynamic interaction,task
2607.07021,2026-07,cs.AI,value alignment,theory
2607.07021,2026-07,cs.AI,advantage awareness,theory
2607.07021,2026-07,cs.AI,predictability,theory
2607.07003,2026-07,cs.LG,sycophancy,other
2607.07003,2026-07,cs.LG,linear probes,method
2607.07003,2026-07,cs.LG,steering vectors,method
2607.07003,2026-07,cs.LG,activations,model
2607.07003,2026-07,cs.LG,representation sharing,metric
2607.06999,2026-07,cs.LG,physics-guided machine learning,theory
2607.06999,2026-07,cs.LG,spatiotemporal neural models,model
2607.06999,2026-07,cs.LG,fuel density prediction,task
2607.06999,2026-07,cs.LG,mass-conserving fuel transport,metric
2607.06999,2026-07,cs.LG,rate-of-spread estimation,metric
2607.06993,2026-07,cs.AI,retrieval-augmented generation,method
2607.06993,2026-07,cs.AI,behavioral profile,task
2607.06993,2026-07,cs.AI,continued pre-training,method
2607.06993,2026-07,cs.AI,reinforcement learning,method
2607.06993,2026-07,cs.AI,verifiable rewards,metric
2607.06993,2026-07,cs.AI,transaction history,dataset
2607.06993,2026-07,cs.AI,digital twin,application
2607.06987,2026-07,cs.LG,probability capacity (cap,theory
2607.06987,2026-07,cs.LG,unbounded positive asymmetric optimization (up,method
2607.06987,2026-07,cs.LG,importance sampling (is,method
2607.06987,2026-07,cs.LG,stop-gradient operator,method
2607.06987,2026-07,cs.LG,clip,method
2607.06974,2026-07,cs.CL,modular instruction memory,model
2607.06974,2026-07,cs.CL,learnable selection,method
2607.06974,2026-07,cs.CL,coarse-to-fine retrieval,method
2607.06974,2026-07,cs.CL,sub-goal embeddings,model
2607.06974,2026-07,cs.CL,sub-instructions,model
2607.06963,2026-07,cs.CR,large language models,model
2607.06963,2026-07,cs.CR,generative ai,model
2607.06963,2026-07,cs.CR,cybersecurity,application
2607.06963,2026-07,cs.CR,privacy,application
2607.06963,2026-07,cs.CR,zero-day detection,task
2607.06963,2026-07,cs.CR,devsecops,application
2607.06963,2026-07,cs.CR,federated learning,application
2607.06963,2026-07,cs.CR,synthetic content analysis,task
2607.0694,2026-07,cs.CL,multifactor scoring system,theory
2607.0694,2026-07,cs.CL,accuracy,metric
2607.0694,2026-07,cs.CL,conciseness,metric
2607.0694,2026-07,cs.CL,factual consistency,metric
2607.0694,2026-07,cs.CL,readability,metric
2607.0694,2026-07,cs.CL,coherence,metric
2607.0694,2026-07,cs.CL,graphical user interface,tool
2607.06924,2026-07,cs.LG,doob h-transform,theory
2607.06924,2026-07,cs.LG,synaptic rule,method
2607.06924,2026-07,cs.LG,intrinsic noise,risk
2607.06924,2026-07,cs.LG,consolidation,task
2607.06924,2026-07,cs.LG,barrier-conditioning,method
2607.06919,2026-07,cs.CV,multi-view context,task
2607.06919,2026-07,cs.CV,transformer,model
2607.06919,2026-07,cs.CV,rotational sweep videos,dataset
2607.06919,2026-07,cs.CV,biopsy acquisition,application
2607.06919,2026-07,cs.CV,risk score,metric
2607.06918,2026-07,cs.CV,low-rank adaptation (lora,method
2607.06918,2026-07,cs.CV,parameter-efficient fine-tuning (peft,method
2607.06918,2026-07,cs.CV,singular value decomposition (svd,method
2607.06918,2026-07,cs.CV,spatial bases,model
2607.06918,2026-07,cs.CV,channel adaptation,method
2607.06918,2026-07,cs.CV,convolutional kernels,model
2607.06882,2026-07,cs.RO,low-rank adaptation (lora,method
2607.06882,2026-07,cs.RO,multimodal large language model (mllm,model
2607.06882,2026-07,cs.RO,discrete token vocabulary,task
2607.06882,2026-07,cs.RO,cross-entropy training,other
2607.06882,2026-07,cs.RO,short image histories,other
2607.06879,2026-07,cs.LG,best-arm identification,task
2607.06879,2026-07,cs.LG,proxy score,metric
2607.06879,2026-07,cs.LG,heteroscedastic identification,theory
2607.06879,2026-07,cs.LG,control-variate adjustment,method
2607.06879,2026-07,cs.LG,residual variance,metric
2607.06879,2026-07,cs.LG,ordinary least squares fit,method
2607.06879,2026-07,cs.LG,chi-square law,theory
2607.06875,2026-07,cs.CV,multimodal,task
2607.06875,2026-07,cs.CV,video2reaction,dataset
2607.06875,2026-07,cs.CV,emotion distribution,task
2607.06875,2026-07,cs.CV,social media,application
2607.06875,2026-07,cs.CV,multi-agent pipeline,method
2607.06875,2026-07,cs.CV,open-source llms,tool
2607.06855,2026-07,cs.LG,self-distillation,method
2607.06855,2026-07,cs.LG,hellinger loss,metric
2607.06855,2026-07,cs.LG,fisher-rao distance,metric
2607.06855,2026-07,cs.LG,natural-gradient update,method
2607.06855,2026-07,cs.LG,drift,risk
2607.06854,2026-07,cs.LG,reinforcement learning,method
2607.06854,2026-07,cs.LG,game-playing agent,application
2607.06854,2026-07,cs.LG,curriculum learning,method
2607.06854,2026-07,cs.LG,expert system,model
2607.06854,2026-07,cs.LG,reward shaping,method
2607.06854,2026-07,cs.LG,self-play,method
2607.06854,2026-07,cs.LG,information set monte carlo search,method
2607.06854,2026-07,cs.LG,neural fictitious self-play,method
2607.06845,2026-07,cs.CL,activation steering,method
2607.06845,2026-07,cs.CL,dialect bias,risk
2607.06845,2026-07,cs.CL,conditional dialect group invariance (cdgi,theory
2607.06839,2026-07,cs.LG,nas,theory
2607.06839,2026-07,cs.LG,generative pipeline,method
2607.06839,2026-07,cs.LG,evaluative pipeline,method
2607.06839,2026-07,cs.LG,deployment pipeline,method
2607.06839,2026-07,cs.LG,ast-based code mutation,method
2607.06839,2026-07,cs.LG,genetic and reinforcement-learning evolution,method
2607.06839,2026-07,cs.LG,fractal architecture,model
2607.06839,2026-07,cs.LG,large language model (llm,tool
2607.06831,2026-07,cs.CL,gradient-based alignment,method
2607.06831,2026-07,cs.CL,speech-to-text alignment,task
2607.06831,2026-07,cs.CL,differentiable asr model,model
2607.06831,2026-07,cs.CL,dynamic-programming pass,method
2607.06831,2026-07,cs.CL,token log probability,metric
2607.06824,2026-07,cs.RO,symplectic learning,theory
2607.06824,2026-07,cs.RO,structured canonical lift,method
2607.06824,2026-07,cs.RO,generalized-ridge sympnet,model
2607.06824,2026-07,cs.RO,grb-sympnet,model
2607.06824,2026-07,cs.RO,dissipative systems,task
2607.06824,2026-07,cs.RO,quadrotor,application
2607.06824,2026-07,cs.RO,contact-rich quadruped,application
2607.06818,2026-07,cs.CL,reinforcement learning,theory
2607.06818,2026-07,cs.CL,policy gradient,method
2607.06818,2026-07,cs.CL,masked language model,model
2607.06818,2026-07,cs.CL,transformer,model
2607.06818,2026-07,cs.CL,headline generation,task
2607.06802,2026-07,eess.SP,large-language-model,model
2607.06802,2026-07,eess.SP,corpus,dataset
2607.06802,2026-07,eess.SP,rule discovery,task
2607.06802,2026-07,eess.SP,auditable engineering cascade,application
2607.06802,2026-07,eess.SP,threshold check,metric
2607.06802,2026-07,eess.SP,curator review,tool
2607.06802,2026-07,eess.SP,continuous-integration,tool
2607.06796,2026-07,cs.LG,knowledge distillation,method
2607.06796,2026-07,cs.LG,time series classification,task
2607.06796,2026-07,cs.LG,fully convolutional network,model
2607.06796,2026-07,cs.LG,inception module,model
2607.06796,2026-07,cs.LG,transformer-based model,model
2607.06796,2026-07,cs.LG,ucr archive,dataset
2607.06772,2026-07,cs.LG,meta-learning,theory
2607.06772,2026-07,cs.LG,learned optimizer,model
2607.06772,2026-07,cs.LG,long-horizon,task
2607.06772,2026-07,cs.LG,redundant meta-training compute,method
2607.06772,2026-07,cs.LG,decoupled progressive expert supervision,method
2607.06764,2026-07,cs.AI,explorer-definer pipeline,method
2607.06764,2026-07,cs.AI,reflective orchestrator,method
2607.06764,2026-07,cs.AI,pattern discovery,task
2607.06764,2026-07,cs.AI,program synthesis,task
2607.06764,2026-07,cs.AI,autonomous exploration,method
2607.06764,2026-07,cs.AI,pass 2,metric
2607.06763,2026-07,cs.LG,factorized draft models,model
2607.06763,2026-07,cs.LG,proposal trees,task
2607.06763,2026-07,cs.LG,top-k marginals,metric
2607.06763,2026-07,cs.LG,conditional dependencies,theory
2607.06763,2026-07,cs.LG,tree-verification,method
2607.06757,2026-07,cs.AI,agent-based modeling,model
2607.06757,2026-07,cs.AI,large language model,model
2607.06757,2026-07,cs.AI,epidemic modeling,task
2607.06757,2026-07,cs.AI,human decision-making,task
2607.06757,2026-07,cs.AI,scalable framework,theory
2607.06748,2026-07,cs.SE,program analysis,tool
2607.06748,2026-07,cs.SE,constraint-guided llm generation,method
2607.06748,2026-07,cs.SE,smart home configuration,application
2607.06748,2026-07,cs.SE,error detection,task
2607.06748,2026-07,cs.SE,auto-fix,method
2607.06748,2026-07,cs.SE,llm,model
2607.06713,2026-07,cs.SE,contamination-awareness,other
2607.06713,2026-07,cs.SE,trajectory-aware benchmarks,other
2607.06713,2026-07,cs.SE,realistic coding contexts,task
2607.06713,2026-07,cs.SE,human-aligned behavior,other
2607.06713,2026-07,cs.SE,model failure modes,risk
2607.06546,2026-07,cs.LG,spectral attention,method
2607.06546,2026-07,cs.LG,graph convolutional attention,method
2607.06546,2026-07,cs.LG,linear attention,method
2607.06546,2026-07,cs.LG,stochastic block models,task
2607.06546,2026-07,cs.LG,softmax,tool
2607.06544,2026-07,cs.AI,cultural heritage preservation,theory
2607.06544,2026-07,cs.AI,natural language processing,task
2607.06544,2026-07,cs.AI,foundation models,model
2607.06544,2026-07,cs.AI,hermeneutic reasoning,theory
2607.06544,2026-07,cs.AI,linguistic diversity,task
2607.06544,2026-07,cs.AI,resource creation,method
2607.06544,2026-07,cs.AI,sociolinguistic characteristics,task
2607.06544,2026-07,cs.AI,equitable performance,metric
2607.0654,2026-07,cs.CL,modality interference,risk
2607.0654,2026-07,cs.CL,hierarchical parameter separation,method
2607.0654,2026-07,cs.CL,semantic alignment channel,tool
2607.0654,2026-07,cs.CL,full-duplex slms,application
2607.0654,2026-07,cs.CL,speech intelligence,metric
2607.06653,2026-07,cs.LG,feddualatt,method
2607.06653,2026-07,cs.LG,fedavg,method
2607.06653,2026-07,cs.LG,global heads,model
2607.06653,2026-07,cs.LG,local heads,model
2607.06653,2026-07,cs.LG,transformer attention heads,model
2607.06527,2026-07,cs.CL,recurrent soft-flow,method
2607.06527,2026-07,cs.CL,large language model,model
2607.06527,2026-07,cs.CL,graph reasoning,other
2607.06527,2026-07,cs.CL,flow sparsity regularization,other
2607.06527,2026-07,cs.CL,differentiable graph reasoning,other
2607.06523,2026-07,cs.AI,token-adaptive cache compression,method
2607.06523,2026-07,cs.AI,cross-depth residual factorization,method
2607.06523,2026-07,cs.AI,depth router,tool
2607.06523,2026-07,cs.AI,attention-output probes,metric
2607.06523,2026-07,cs.AI,calibration-free online error tracking,method
2607.06522,2026-07,cs.AI,visual alignment reward,other
2607.06522,2026-07,cs.AI,visual-action alignment reward,other
2607.06522,2026-07,cs.AI,hallucinated chain-of-thought,risk
2607.06522,2026-07,cs.AI,alignment,other
2607.06503,2026-07,cs.AI,hidden activations,model
2607.06503,2026-07,cs.AI,calibrated gate,tool
2607.06503,2026-07,cs.AI,episode failure,risk
2607.06503,2026-07,cs.AI,inference compute,metric
2607.06485,2026-07,cs.CV,adversarial attack,other
2607.06485,2026-07,cs.CV,thermal-airflow perturbation,other
2607.06485,2026-07,cs.CV,zero-shot attack,other
2607.06485,2026-07,cs.CV,scene classification,task
2607.06485,2026-07,cs.CV,physical plausibility,other
2607.06482,2026-07,cs.CL,llm,model
2607.06482,2026-07,cs.CL,table qa,task
2607.06482,2026-07,cs.CL,table insight,task
2607.06482,2026-07,cs.CL,exploratory data analysis,method
2607.06482,2026-07,cs.CL,agentic framework,tool
2607.06481,2026-07,cs.CV,text-to-video diffusion transformer,model
2607.06481,2026-07,cs.CV,low-rank temporal adapters,model
