source,target,edge_weight,first_month,latest_month
inception module,time series classification,1,2026-07,2026-07
inception module,transformer-based model,1,2026-07,2026-07
inception module,ucr archive,1,2026-07,2026-07
inertial navigation system,proprioceptive vehicle localization,1,2026-07,2026-07
incomplete ecg records,one-dimensional transformer autoencoder,1,2026-07,2026-07
induction heads,mechanistic interpretability,1,2026-07,2026-07
induction heads,polysemanticity,1,2026-07,2026-07
induction heads,sparse autoencoders (saes,1,2026-07,2026-07
induction heads,steering vectors,1,2026-07,2026-07
induction heads,superposition,1,2026-07,2026-07
induction heads,transformer circuit analysis,1,2026-07,2026-07
inductive bias,information matching,1,2026-07,2026-07
inductive bias,sample efficiency,1,2026-07,2026-07
inductive bias,transformer,1,2026-07,2026-07
inductive biases,temporal drift,1,2026-07,2026-07
inertial navigation system,mamba,1,2026-07,2026-07
inertial navigation system,normal-inverse-gamma distribution,1,2026-07,2026-07
innovative solutions,pattern matching,1,2026-07,2026-07
incomplete ecg records,mask-conditioned,1,2026-07,2026-07
intermediate representations,spatial understanding,1,2026-07,2026-07
intermediate representations,vision-language models,1,2026-07,2026-07
intermediate-state informativeness,policy optimization target,1,2026-07,2026-07
intermediate-state informativeness,rollout policy optimization,1,2026-07,2026-07
intermediate-state informativeness,tree-structured rollout,1,2026-07,2026-07
internal language modeling,language model,1,2026-07,2026-07
internal language modeling,perplexity,1,2026-07,2026-07
internal language modeling,word error rate,1,2026-07,2026-07
internal state validation,multi-dimensional reward shaping,1,2026-07,2026-07
internal state validation,reward hacking,1,2026-07,2026-07
internal state validation,rl gym,1,2026-07,2026-07
interpersonal stance,language and dialect consistency,1,2026-07,2026-07
interpersonal stance,multidimensional protocol,1,2026-07,2026-07
innovative solutions,physical laws,1,2026-07,2026-07
interpersonal stance,seamless interaction corpus,1,2026-07,2026-07
interpretability,language models,1,2026-07,2026-07
interpretability,neuron selectors,1,2026-07,2026-07
interpretability,pruning,1,2026-07,2026-07
interpretability,refusal,1,2026-07,2026-07
interpretable ai,surrogate model,1,2026-07,2026-07
interpretable ai,token-level explanation,1,2026-07,2026-07
interpretable ai,transformer-based model,1,2026-07,2026-07
interpretation difficulty,large language model,1,2026-07,2026-07
interpretation difficulty,local context,1,2026-07,2026-07
intrinsic noise,synaptic rule,1,2026-07,2026-07
invalid inputs,large language models,1,2026-07,2026-07
invalid inputs,specification grounding,1,2026-07,2026-07
interpersonal stance,response latency,1,2026-07,2026-07
importance sampling,on-policy token,1,2026-07,2026-07
innovative solutions,pure reasoning,1,2026-07,2026-07
instance-level data augmentation,pseudo frames,1,2026-07,2026-07
instance-level data augmentation,teacher-student framework,1,2026-07,2026-07
instance-level data augmentation,voxel features,1,2026-07,2026-07
instruction-following failures,observer option12,1,2026-07,2026-07
instruction-following failures,open-source smaller language models (os-sllms,1,2026-07,2026-07
instruction-following failures,shared decision making (sdm,1,2026-07,2026-07
instruction-following failures,temporal discourse reasoning,1,2026-07,2026-07
instruction-pose aware router,spatiotemporal manifold sampling,1,2026-07,2026-07
instruction-response pairs,long-context understanding,1,2026-07,2026-07
instruction-tuned language models,neuron-level interventions,1,2026-07,2026-07
instruction-tuned language models,nonlinear effects,1,2026-07,2026-07
intermediate representations,localization signals,1,2026-07,2026-07
instruction-tuned model,prompt category,1,2026-07,2026-07
instruction-tuned model,prompt robustness,1,2026-07,2026-07
intent-driven dataset,reasoning-active training,1,2026-07,2026-07
intent-driven dataset,reasoning-free inference,1,2026-07,2026-07
intent-driven dataset,rollout-guided progressive hard-case optimization,1,2026-07,2026-07
intent-driven dataset,structured safety labels,1,2026-07,2026-07
intentrouter,pandasqueryengine,1,2026-07,2026-07
intentrouter,protocolmanager,1,2026-07,2026-07
intentrouter,safetyverifier,1,2026-07,2026-07
inter-view interaction,structured token-level communication,1,2026-07,2026-07
inter-view interaction,token-centric dual-view learning,1,2026-07,2026-07
interaction inference,state-coherent screenshot set,1,2026-07,2026-07
interaction inference,state-management complexity,1,2026-07,2026-07
interactive dashboard,multimodal,1,2026-07,2026-07
instruction-tuned language models,task-relevant computations,1,2026-07,2026-07
hierarchical vocabulary routing,selective disclosure,1,2026-07,2026-07
hierarchical vocabulary routing,watermarking,1,2026-07,2026-07
hierarchy-relaxed evaluation,macro-f1,1,2026-07,2026-07
hierarchy-relaxed evaluation,multi-class formulation,1,2026-07,2026-07
hierarchy-relaxed evaluation,multi-label formulation,1,2026-07,2026-07
hierarchy-relaxed evaluation,transformer encoder,1,2026-07,2026-07
high-fidelity,image-text pairs,1,2026-07,2026-07
high-fidelity,medical figure classification,1,2026-07,2026-07
high-fidelity,multimodal,1,2026-07,2026-07
high-fidelity,retrieval,1,2026-07,2026-07
high-fidelity,visual question-answering,1,2026-07,2026-07
high-loss completions,linear decoding,1,2026-07,2026-07
high-loss completions,natural-language datasets,1,2026-07,2026-07
importance sampling,off-policy training,1,2026-07,2026-07
high-loss completions,position estimation,1,2026-07,2026-07
high-resolution rgb imagery,iou,1,2026-07,2026-07
high-resolution rgb imagery,semantic segmentation,1,2026-07,2026-07
high-resolution rgb imagery,uav imagery,1,2026-07,2026-07
hmac-authenticated qr receipt,hmac-sha256 signature,1,2026-07,2026-07
hmac-authenticated qr receipt,role-based policy,1,2026-07,2026-07
hmac-authenticated qr receipt,sha-256 hash-chained audit log,1,2026-07,2026-07
hmac-sha256 signature,role-based policy,1,2026-07,2026-07
hmac-sha256 signature,sha-256 hash-chained audit log,1,2026-07,2026-07
homology-controlled gene ontology prediction,multimodal scientific foundation model,1,2026-07,2026-07
homology-controlled gene ontology prediction,native structural reasoning,1,2026-07,2026-07
homology-controlled gene ontology prediction,retrosynthesis accuracy,1,2026-07,2026-07
homology-controlled gene ontology prediction,structure-aware vocabulary,1,2026-07,2026-07
homoscedastic uncertainty weighting,kl divergence,1,2026-07,2026-07
high-loss completions,plan-like internal representation,1,2026-07,2026-07
hidden states,plan-like internal representation,1,2026-07,2026-07
hidden states,position estimation,1,2026-07,2026-07
hidden states,pre-generation signals,1,2026-07,2026-07
hidden states,program evolution,1,2026-07,2026-07
hidden states,residual streams,1,2026-07,2026-07
hidden states,test suite,1,2026-07,2026-07
hidden states,uncertainty quantification,1,2026-07,2026-07
hidden states,visual question answering,1,2026-07,2026-07
hidden states,visual-token representations,1,2026-07,2026-07
hidden-anchor audit,reference-free,1,2026-07,2026-07
hidden-anchor audit,reward hacking,1,2026-07,2026-07
hidden-anchor audit,self-play,1,2026-07,2026-07
hierarchical modeling,homoscedastic uncertainty weighting,1,2026-07,2026-07
hierarchical vocabulary routing,multi-bit watermarking,1,2026-07,2026-07
hierarchical modeling,soft-label prediction,1,2026-07,2026-07
hierarchical multi-scale architecture,pathwise feature transport,1,2026-07,2026-07
hierarchical multi-scale architecture,time-conditioned velocity field,1,2026-07,2026-07
hierarchical parameter separation,modality interference,1,2026-07,2026-07
hierarchical parameter separation,semantic alignment channel,1,2026-07,2026-07
hierarchical parameter separation,speech intelligence,1,2026-07,2026-07
hierarchical question decomposition,memory-guided generation,1,2026-07,2026-07
hierarchical question decomposition,multimodal retrieval,1,2026-07,2026-07
hierarchical question decomposition,retrieval-augmented generation,1,2026-07,2026-07
hierarchical search,multi-hop qa,1,2026-07,2026-07
hierarchical search,quality-filtered trajectory distillation,1,2026-07,2026-07
hierarchical search,role factorization,1,2026-07,2026-07
hierarchical task taxonomy,instruction-response pairs,1,2026-07,2026-07
hierarchical task taxonomy,long-context understanding,1,2026-07,2026-07
hierarchical modeling,kl divergence,1,2026-07,2026-07
hybrid model,mobilenetv2,1,2026-07,2026-07
hybrid model,yolov5,1,2026-07,2026-07
hybrid retrieval,pubhealthbench,1,2026-07,2026-07
hybrid retrieval,retrieval-augmented generation,1,2026-07,2026-07
hybrid reward,multimodal,1,2026-07,2026-07
hybrid reward,rl (reinforcement learning,1,2026-07,2026-07
hybrid reward,tool-augmented agent,1,2026-07,2026-07
hyperbolic representation,operating point,1,2026-07,2026-07
image classification,teacher-student model,1,2026-07,2026-07
image restoration,monocular depth estimation,1,2026-07,2026-07
image restoration,object detection,1,2026-07,2026-07
image restoration,restoration quality,1,2026-07,2026-07
image restoration,synthetic fog generation,1,2026-07,2026-07
homoscedastic uncertainty weighting,soft-label prediction,1,2026-07,2026-07
image signal processing,inverse reconstruction,1,2026-07,2026-07
image signal processing,ray and wave optics,1,2026-07,2026-07
image signal processing,vision-language models,1,2026-07,2026-07
image synthesis,latent compositional pattern,1,2026-07,2026-07
image synthesis,multi-stage reasoning,1,2026-07,2026-07
image synthesis,prompt construction,1,2026-07,2026-07
image synthesis,tree-of-thoughts (tot,1,2026-07,2026-07
image-text pairs,medical figure classification,1,2026-07,2026-07
image-text pairs,multimodal,1,2026-07,2026-07
image-text pairs,retrieval,1,2026-07,2026-07
image-text pairs,visual question-answering,1,2026-07,2026-07
imbalance,minority class,1,2026-07,2026-07
imbalance,scaffold,1,2026-07,2026-07
invalid inputs,test effectiveness,1,2026-07,2026-07
image restoration,tracking,1,2026-07,2026-07
hotel review,local large language model,1,2026-07,2026-07
hotel review,quantitative data extraction,1,2026-07,2026-07
hotel review,star rating,1,2026-07,2026-07
human decision-making,large language model,1,2026-07,2026-07
human decision-making,scalable framework,1,2026-07,2026-07
human interpretation,interpretation difficulty,1,2026-07,2026-07
human interpretation,large language model,1,2026-07,2026-07
human interpretation,local context,1,2026-07,2026-07
human judgment,interactive dashboard,1,2026-07,2026-07
human judgment,multimodal,1,2026-07,2026-07
human validation,majority voting,1,2026-07,2026-07
human validation,multi-llm arena,1,2026-07,2026-07
human validation,synthetic labeling,1,2026-07,2026-07
human-ai co-creation,multimodal interaction,1,2026-07,2026-07
hybrid model,logistic regression,1,2026-07,2026-07
human-ai coordination,predictability,1,2026-07,2026-07
human-ai coordination,social norms,1,2026-07,2026-07
human-ai coordination,value alignment,1,2026-07,2026-07
human-aligned behavior,model failure modes,1,2026-07,2026-07
human-aligned behavior,realistic coding contexts,1,2026-07,2026-07
human-aligned behavior,trajectory-aware benchmarks,1,2026-07,2026-07
human-aware representation,knowledge distillation,1,2026-07,2026-07
human-aware representation,multi-modal input,1,2026-07,2026-07
human-aware representation,trajectory planning,1,2026-07,2026-07
human-aware representation,transformer-based model,1,2026-07,2026-07
hybrid framework,llm-based semantic assessment,1,2026-07,2026-07
hybrid framework,multilingual long-horizon llm agents,1,2026-07,2026-07
hybrid framework,polyworkbench,1,2026-07,2026-07
hybrid framework,structural grading,1,2026-07,2026-07
human-ai co-creation,vision-language model,1,2026-07,2026-07
large language models,semantic homogenization,1,2026-07,2026-07
large language models,semantic quality,1,2026-07,2026-07
large language models,source of authority,1,2026-07,2026-07
large language models,source-guided candidate-generation,1,2026-07,2026-07
large language models,specification grounding,1,2026-07,2026-07
large language models,specification-derived authority,1,2026-07,2026-07
large language models,spectral entropy,1,2026-07,2026-07
large language models,syntactic quality,1,2026-07,2026-07
large language models,synthetic consumer data,1,2026-07,2026-07
large language models,synthetic content analysis,1,2026-07,2026-07
large language models,task constraints,1,2026-07,2026-07
large language models,test effectiveness,1,2026-07,2026-07
large language models,test oracles,1,2026-07,2026-07
inverse participation ratio,large language models,1,2026-07,2026-07
large language models,topic models,1,2026-07,2026-07
large language models,transfer learning,1,2026-07,2026-07
large language models,zero-day detection,1,2026-07,2026-07
large language models (llm,severity phenotyping,1,2026-07,2026-07
large language models (llm,synthetic cohort,1,2026-07,2026-07
large language models (llms,stability measures,1,2026-07,2026-07
large language models (llms,structural metrics,1,2026-07,2026-07
large-language-model,rule discovery,1,2026-07,2026-07
large-language-model,threshold check,1,2026-07,2026-07
latent compositional pattern,multi-stage reasoning,1,2026-07,2026-07
latent compositional pattern,prompt construction,1,2026-07,2026-07
latent compositional pattern,tree-of-thoughts (tot,1,2026-07,2026-07
latent field,self-attention mechanisms,1,2026-07,2026-07
latent field,transformer architecture,1,2026-07,2026-07
large language models,top-term analyses,1,2026-07,2026-07
large language model,synchronized trajectory,1,2026-07,2026-07
large language model,task-oriented scenarios,1,2026-07,2026-07
large language model,task-semantic field factorization,1,2026-07,2026-07
large language model,time-series forecasting,1,2026-07,2026-07
large language model,variable semantics,1,2026-07,2026-07
large language model,visual-question-answering,1,2026-07,2026-07
large language model (llm,nas,1,2026-07,2026-07
large language model (llm,signal-processing features,1,2026-07,2026-07
large language model (llm,spike detection,1,2026-07,2026-07
large language model (llm,tabular classifier,1,2026-07,2026-07
large language models,legal and ethical compliance,1,2026-07,2026-07
large language models,linguistic measures,1,2026-07,2026-07
large language models,literature synthesis,1,2026-07,2026-07
large language models,reward function design,1,2026-07,2026-07
large language models,logic-based datasets,1,2026-07,2026-07
large language models,multi-agent systems,1,2026-07,2026-07
large language models,multilingual access,1,2026-07,2026-07
large language models,natural language processing,1,2026-07,2026-07
large language models,neural network modifications,1,2026-07,2026-07
large language models,pragmatic quality,1,2026-07,2026-07
large language models,privacy,1,2026-07,2026-07
large language models,process model generation,1,2026-07,2026-07
large language models,projective techniques,1,2026-07,2026-07
large language models,prompt engineering,1,2026-07,2026-07
large language models,regulation-aware ai,1,2026-07,2026-07
large language models,reinforcement fine-tuning,1,2026-07,2026-07
large language models,reinforcement learning,1,2026-07,2026-07
large language models,retrosynthesis,1,2026-07,2026-07
large language models,llm-as-a-judge,1,2026-07,2026-07
legal and ethical compliance,multilingual access,1,2026-07,2026-07
legal and ethical compliance,regulation-aware ai,1,2026-07,2026-07
lifelong user modeling,multimodal alignment,1,2026-07,2026-07
linear attention,softmax,1,2026-07,2026-07
linear attention,spectral attention,1,2026-07,2026-07
linear attention,stochastic block models,1,2026-07,2026-07
linear decoding,natural-language datasets,1,2026-07,2026-07
linear decoding,plan-like internal representation,1,2026-07,2026-07
linear decoding,position estimation,1,2026-07,2026-07
linear probes,representation sharing,1,2026-07,2026-07
linear probes,steering vectors,1,2026-07,2026-07
linear probes,sycophancy,1,2026-07,2026-07
linearization,llama,1,2026-07,2026-07
latent generation,low-latency path,1,2026-07,2026-07
linearization,qwen,1,2026-07,2026-07
linearization,rank-1 orthogonal projections,1,2026-07,2026-07
linearization,softmax,1,2026-07,2026-07
linguistic diversity,natural language processing,1,2026-07,2026-07
linguistic diversity,resource creation,1,2026-07,2026-07
linguistic diversity,sociolinguistic characteristics,1,2026-07,2026-07
linguistic measures,projective techniques,1,2026-07,2026-07
linguistic measures,synthetic consumer data,1,2026-07,2026-07
linguistic measures,top-term analyses,1,2026-07,2026-07
linguistic measures,topic models,1,2026-07,2026-07
literature search,novelty claim,1,2026-07,2026-07
literature search,pattern recognition,1,2026-07,2026-07
literature search,research ideation,1,2026-07,2026-07
literature synthesis,multilingual access,1,2026-07,2026-07
linearization,mmlu,1,2026-07,2026-07
latent generation,multi-gpu,1,2026-07,2026-07
latent generation,sharding,1,2026-07,2026-07
latent graph encoding,multimodal generative framework,1,2026-07,2026-07
latent graph encoding,structural and functional mri,1,2026-07,2026-07
latent graph encoding,transformer,1,2026-07,2026-07
latent graph encoding,variational autoencoder,1,2026-07,2026-07
latent persona direction,low-rank peft,1,2026-07,2026-07
latent programming horizon,logistic regression probe,1,2026-07,2026-07
latent programming horizon,program evolution,1,2026-07,2026-07
latent programming horizon,residual streams,1,2026-07,2026-07
latent programming horizon,test suite,1,2026-07,2026-07
latent-prediction objective,self-supervised learning,1,2026-07,2026-07
latent-prediction objective,self-supervised transformer,1,2026-07,2026-07
legal and ethical compliance,literature synthesis,1,2026-07,2026-07
latent-prediction objective,spatio-temporal embedding,1,2026-07,2026-07
latent-prediction objective,transformer,1,2026-07,2026-07
learnable selection,modular instruction memory,1,2026-07,2026-07
learnable selection,sub-goal embeddings,1,2026-07,2026-07
learnable selection,sub-instructions,1,2026-07,2026-07
learnable spectrum,spectral control,1,2026-07,2026-07
learnable spectrum,stiefel layer,1,2026-07,2026-07
learned optimizer,long-horizon,1,2026-07,2026-07
learned optimizer,meta-learning,1,2026-07,2026-07
learned optimizer,redundant meta-training compute,1,2026-07,2026-07
leave one subject out cross-validation,random forest,1,2026-07,2026-07
leave one subject out cross-validation,shap explainability,1,2026-07,2026-07
leave one subject out cross-validation,svm classifier,1,2026-07,2026-07
leave one subject out cross-validation,wavelet scattering transform,1,2026-07,2026-07
latent-prediction objective,signal reconstruction,1,2026-07,2026-07
judgement-of-learning (jol,pre-solution confidence,1,2026-07,2026-07
kappa statistic,large language models (llm,1,2026-07,2026-07
kappa statistic,severity phenotyping,1,2026-07,2026-07
kappa statistic,synthetic cohort,1,2026-07,2026-07
keyed pseudo-random permutation,majority voting,1,2026-07,2026-07
keyed pseudo-random permutation,multi-channel spread-spectrum watermarking,1,2026-07,2026-07
keyed pseudo-random permutation,reed-solomon code,1,2026-07,2026-07
keyed pseudo-random permutation,semantically equivalent code patterns,1,2026-07,2026-07
keyed pseudo-random permutation,syntactic attacks,1,2026-07,2026-07
keyed pseudo-random permutation,variable naming conventions,1,2026-07,2026-07
keyword filter,reasoning guard,1,2026-07,2026-07
kl divergence,soft-label prediction,1,2026-07,2026-07
kl regularization,multi-step derivation,1,2026-07,2026-07
large language model,soft sensing,1,2026-07,2026-07
kl regularization,step-level reward,1,2026-07,2026-07
kl regularization,structured feedback,1,2026-07,2026-07
knowledge base,limited memory language models,1,2026-07,2026-07
knowledge base manager,multi-agent mathematical reasoning,1,2026-07,2026-07
knowledge base manager,natural language prover,1,2026-07,2026-07
knowledge base manager,open problems,1,2026-07,2026-07
knowledge distillation,machine translation,1,2026-07,2026-07
knowledge distillation,multi-modal input,1,2026-07,2026-07
knowledge distillation,multilingual transcripts,1,2026-07,2026-07
knowledge distillation,time series classification,1,2026-07,2026-07
knowledge distillation,trajectory planning,1,2026-07,2026-07
knowledge distillation,ucr archive,1,2026-07,2026-07
knowledge graph,llm,1,2026-07,2026-07
knowledge graph,multi-modal representation,1,2026-07,2026-07
kl regularization,policy gradient,1,2026-07,2026-07
literature synthesis,regulation-aware ai,1,2026-07,2026-07
inverse participation ratio,spectral entropy,1,2026-07,2026-07
inverse reconstruction,ray and wave optics,1,2026-07,2026-07
inverse reconstruction,vision-language models,1,2026-07,2026-07
iou,semantic segmentation,1,2026-07,2026-07
iou,uav imagery,1,2026-07,2026-07
iou 0.95 positive labeling,label smoothing,1,2026-07,2026-07
iou 0.95 positive labeling,multi-label span classification,1,2026-07,2026-07
iou 0.95 positive labeling,stratified train-validation split,1,2026-07,2026-07
iterative refinement,text-to-cad,1,2026-07,2026-07
iterative refinement,visual reasoning,1,2026-07,2026-07
iterative repair,runbugrun dataset,1,2026-07,2026-07
iterative repair,semantic corruption,1,2026-07,2026-07
judgement-of-learning (jol,post-solution confidence,1,2026-07,2026-07
iterative tool optimization,standard operating procedures (sop,1,2026-07,2026-07
iterative tool optimization,toolset,1,2026-07,2026-07
jaccard overlap,subword vocabulary,1,2026-07,2026-07
jaccard overlap,unigram-lm,1,2026-07,2026-07
jensen-shannon divergence,on-policy distillation,1,2026-07,2026-07
jensen-shannon divergence,token-level signals,1,2026-07,2026-07
jensen-shannon divergence,tool call,1,2026-07,2026-07
joint ar-diffusion objective,self-speculation decoding,1,2026-07,2026-07
joint ar-diffusion objective,throughput,1,2026-07,2026-07
joint ar-diffusion objective,tri-mode language model,1,2026-07,2026-07
joint estimation,mahalanobis distance scores,1,2026-07,2026-07
joint estimation,minimum covariance determinant (mcd,1,2026-07,2026-07
joint token commitment,lora adapters,1,2026-07,2026-07
joint token commitment,marker-gated coordination pass,1,2026-07,2026-07
iterative tool optimization,recurring workflows,1,2026-07,2026-07
language model,upstream metric,1,2026-07,2026-07
language model,vex vr,1,2026-07,2026-07
language model,word error rate,1,2026-07,2026-07
language models,neuron selectors,1,2026-07,2026-07
language models,principled-vs-statistical distinction,1,2026-07,2026-07
language models,pruning,1,2026-07,2026-07
language models,refusal,1,2026-07,2026-07
language models,statistical prevalence,1,2026-07,2026-07
language resource,large language model,1,2026-07,2026-07
language resource,mathematical reasoning,1,2026-07,2026-07
language-guided latent decomposition,multimodal,1,2026-07,2026-07
language-guided latent decomposition,olfaction,1,2026-07,2026-07
language-guided latent decomposition,scene descriptors,1,2026-07,2026-07
knowledge graph,self-supervised learning,1,2026-07,2026-07
language-guided latent decomposition,vision-language,1,2026-07,2026-07
large language model,local context,1,2026-07,2026-07
large language model,mathematical reasoning,1,2026-07,2026-07
large language model,multimodal,1,2026-07,2026-07
large language model,ontology-based synonym matching,1,2026-07,2026-07
large language model,polarity-contradiction detection,1,2026-07,2026-07
large language model,question-type-specific inference,1,2026-07,2026-07
large language model,recommendation generation,1,2026-07,2026-07
large language model,recurrent soft-flow,1,2026-07,2026-07
large language model,repository enrichment,1,2026-07,2026-07
large language model,retrieval-augmented generation,1,2026-07,2026-07
large language model,safety guardrails,1,2026-07,2026-07
large language model,scalable framework,1,2026-07,2026-07
large language model,semantic annotation,1,2026-07,2026-07
language-guided latent decomposition,smell encoder,1,2026-07,2026-07
knowledge graph,typing,1,2026-07,2026-07
knowledge graph,verification,1,2026-07,2026-07
knowledge retrieval,pre-generation signals,1,2026-07,2026-07
knowledge retrieval,uncertainty quantification,1,2026-07,2026-07
knowledge retrieval,visual question answering,1,2026-07,2026-07
knowledge retrieval,visual-token representations,1,2026-07,2026-07
knowledge-augmented dataset,large language model,1,2026-07,2026-07
knowledge-augmented dataset,semantic annotation,1,2026-07,2026-07
knowledge-augmented dataset,synchronized trajectory,1,2026-07,2026-07
knowledge-intensive domains,large language models,1,2026-07,2026-07
knowledge-intensive domains,logic-based datasets,1,2026-07,2026-07
knowledge-intensive domains,multi-agent systems,1,2026-07,2026-07
kolmogorov complexity,model-relative text compression,1,2026-07,2026-07
kolmogorov complexity,prompt complexity,1,2026-07,2026-07
language model,prompt engineering,1,2026-07,2026-07
kolmogorov complexity,shortest generating prompt,1,2026-07,2026-07
l1-penalized logistic regression,macro-f1,1,2026-07,2026-07
l1-penalized logistic regression,mentalroberta,1,2026-07,2026-07
l1-penalized logistic regression,redsm5,1,2026-07,2026-07
l1-penalized logistic regression,self-reported diagnosis,1,2026-07,2026-07
l1-penalized logistic regression,zero-shot nli,1,2026-07,2026-07
label smoothing,multi-label span classification,1,2026-07,2026-07
label smoothing,stratified train-validation split,1,2026-07,2026-07
lagrangian budget constraint,per-axis normalization,1,2026-07,2026-07
language and dialect consistency,multidimensional protocol,1,2026-07,2026-07
language and dialect consistency,response latency,1,2026-07,2026-07
language and dialect consistency,seamless interaction corpus,1,2026-07,2026-07
language model,pedagogical rubric,1,2026-07,2026-07
language model,perplexity,1,2026-07,2026-07
kolmogorov complexity,prompt optimization,1,2026-07,2026-07
foundation models,linguistic diversity,1,2026-07,2026-07
foundation models,natural language processing,1,2026-07,2026-07
foundation models,resource creation,1,2026-07,2026-07
foundation models,sociolinguistic characteristics,1,2026-07,2026-07
foundation models,text-to-cad,1,2026-07,2026-07
foundation models,visual reasoning,1,2026-07,2026-07
fourier mechanisms,grpcompviarep (gcr,1,2026-07,2026-07
fourier mechanisms,local hierarchical algebraic regions,1,2026-07,2026-07
fourier mechanisms,monoid extension,1,2026-07,2026-07
fourier mechanisms,square-free modular multiplication,1,2026-07,2026-07
fourier transform,innovative solutions,1,2026-07,2026-07
fourier transform,logical complexity,1,2026-07,2026-07
fourier transform,natural world,1,2026-07,2026-07
hidden states,natural-language datasets,1,2026-07,2026-07
fourier transform,physical laws,1,2026-07,2026-07
fourier transform,pure reasoning,1,2026-07,2026-07
fp8,geometry-aware transformation,1,2026-07,2026-07
fp8,llama-300m,1,2026-07,2026-07
fp8,llama-600m,1,2026-07,2026-07
fp8,low-precision gradient communication,1,2026-07,2026-07
fr chet mean,pullback metrics,1,2026-07,2026-07
fr chet mean,riemannian mean pooling,1,2026-07,2026-07
fr chet mean,symmetric positive definite (spd) manifold,1,2026-07,2026-07
fractal architecture,generative pipeline,1,2026-07,2026-07
fractal architecture,genetic and reinforcement-learning evolution,1,2026-07,2026-07
fractal architecture,large language model (llm,1,2026-07,2026-07
fractal architecture,nas,1,2026-07,2026-07
framing susceptibility,logical irrelevant factors,1,2026-07,2026-07
fourier transform,pattern matching,1,2026-07,2026-07
flow sparsity regularization,graph reasoning,1,2026-07,2026-07
flow sparsity regularization,large language model,1,2026-07,2026-07
flow sparsity regularization,recurrent soft-flow,1,2026-07,2026-07
fluency,sparse autoencoders (saes,1,2026-07,2026-07
fluency,stochastic block steering (sbs,1,2026-07,2026-07
fluency,stochastic token steering (sts,1,2026-07,2026-07
forensic reconstruction,pragmatic framing,1,2026-07,2026-07
forged amplifying rationale memory attack,keyword filter,1,2026-07,2026-07
forged amplifying rationale memory attack,reasoning guard,1,2026-07,2026-07
formal language prover,harness architecture,1,2026-07,2026-07
formal language prover,knowledge base manager,1,2026-07,2026-07
formal language prover,multi-agent mathematical reasoning,1,2026-07,2026-07
formal language prover,natural language prover,1,2026-07,2026-07
foundation models,iterative refinement,1,2026-07,2026-07
formal verification,proof-mechanism,1,2026-07,2026-07
formal verification,template accuracy,1,2026-07,2026-07
formatting attacks,keyed pseudo-random permutation,1,2026-07,2026-07
formatting attacks,majority voting,1,2026-07,2026-07
formatting attacks,multi-channel spread-spectrum watermarking,1,2026-07,2026-07
formatting attacks,reed-solomon code,1,2026-07,2026-07
formatting attacks,semantically equivalent code patterns,1,2026-07,2026-07
formatting attacks,syntactic attacks,1,2026-07,2026-07
formatting attacks,variable naming conventions,1,2026-07,2026-07
forward pass,joint ar-diffusion objective,1,2026-07,2026-07
forward pass,self-speculation decoding,1,2026-07,2026-07
forward pass,throughput,1,2026-07,2026-07
forward pass,tri-mode language model,1,2026-07,2026-07
